"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Corsia";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2021/03";"6";"31/03/2021";"3";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"461";"0";"445";"16";"395";"66";"461";"0"
"2021/03";"6";"31/03/2021";"3";"SS 12 tra Fiumalbo e Abetone";"1 - DA CONFINE REGIONALE LOMBARDIA A CONFINE REGIONALE TOSCANA";"434";"0";"414";"20";"386";"48";"434";"0"
"2021/03";"7";"31/03/2021";"3";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"0 - DA PORRETTA TERME A FERRARA";"2.539";"0";"2.419";"120";"2.149";"390";"2.539";"0"
"2021/03";"7";"31/03/2021";"3";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"1 - DA FERRARA A PORRETTA TERME";"2.573";"0";"2.460";"113";"2.157";"416";"2.573";"0"
"2021/03";"12";"31/03/2021";"3";"SS 16 al Confine regionale (Marche)";"0 - DA  FERRARA A CONFINE REGIONALE MARCHE";"4.315";"1";"4.034";"280";"3.577";"738";"4.315";"0"
"2021/03";"12";"31/03/2021";"3";"SS 16 al Confine regionale (Marche)";"1 - DA CONFINE REGIONALE MARCHE A  FERRARA";"4.618";"0";"4.332";"286";"3.854";"764";"4.618";"0"
"2021/03";"16";"31/03/2021";"3";"SP 69 in località Pilastri al Confine regionale";"0 - DA CONFINE PROVINCIALE LOMBARDIA A FERRARA";"703";"0";"626";"77";"593";"110";"703";"0"
"2021/03";"16";"31/03/2021";"3";"SP 69 in località Pilastri al Confine regionale";"1 - DA FERRARA A CONFINE PROVINCIALE LOMBARDIA";"672";"0";"609";"63";"559";"113";"672";"0"
"2021/03";"19";"31/03/2021";"3";"SP 343R tra Colorno e Casalmaggiore";"0 - DA PARMA A CONFINE REGIONALE LOMBARDIA";"4.538";"1";"3.219";"1.318";"3.712";"826";"4.538";"0"
"2021/03";"19";"31/03/2021";"3";"SP 343R tra Colorno e Casalmaggiore";"1 - DA CONFINE REGIONALE LOMBARDIA A PARMA";"4.417";"1";"3.133";"1.283";"3.430";"987";"4.417";"0"
"2021/03";"25";"31/03/2021";"3";"SS 9 tra San Prospero (Case Crostolo) e Sant'Ilario d'Enza";"0 - DA RIMINI A PIACENZA";"12.104";"0";"10.962";"1.142";"9.775";"2.329";"12.104";"0"
"2021/03";"25";"31/03/2021";"3";"SS 9 tra San Prospero (Case Crostolo) e Sant'Ilario d'Enza";"1 - DA PIACENZA A RIMINI";"12.050";"2";"10.899";"1.149";"9.698";"2.352";"12.050";"0"
"2021/03";"29";"31/03/2021";"3";"SS 9 tra Modena e Rubiera";"0 - DA RIMINI A PIACENZA";"8.645";"0";"7.388";"1.257";"6.918";"1.727";"8.645";"0"
"2021/03";"29";"31/03/2021";"3";"SS 9 tra Modena e Rubiera";"1 - DA PIACENZA A RIMINI";"8.627";"0";"7.372";"1.255";"7.081";"1.546";"8.627";"0"
"2021/03";"53";"31/03/2021";"3";"SS 309 a San Giuseppe di Comacchio";"0 - DA RAVENNA A CONFINE REGIONALE VENETO";"4.393";"0";"2.372";"2.021";"3.493";"900";"4.393";"0"
"2021/03";"53";"31/03/2021";"3";"SS 309 a San Giuseppe di Comacchio";"1 - DA CONFINE REGIONALE VENETO A RAVENNA";"4.523";"0";"2.511";"2.012";"3.491";"1.032";"4.523";"0"
"2021/03";"95";"31/03/2021";"3";"SP 10R tra Castel San Giovanni e Sarmato";"0 - DA CASTEL SAN GIOVANNI A CASTELVETRO PIACENTINO";"5.628";"0";"5.150";"478";"4.417";"1.211";"5.628";"0"
"2021/03";"95";"31/03/2021";"3";"SP 10R tra Castel San Giovanni e Sarmato";"1 - DA CASTELVETRO PIACENTINO A CASTEL SAN GIOVANNI";"5.919";"0";"5.301";"618";"4.534";"1.385";"5.919";"0"
