"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Corsia";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2021/03";"6";"01/03/2021";"1";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"444";"0";"431";"13";"390";"54";"444";"0"
"2021/03";"6";"01/03/2021";"1";"SS 12 tra Fiumalbo e Abetone";"1 - DA CONFINE REGIONALE LOMBARDIA A CONFINE REGIONALE TOSCANA";"432";"0";"418";"14";"371";"61";"432";"0"
"2021/03";"6";"02/03/2021";"2";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"481";"0";"462";"19";"425";"56";"481";"0"
"2021/03";"6";"02/03/2021";"2";"SS 12 tra Fiumalbo e Abetone";"1 - DA CONFINE REGIONALE LOMBARDIA A CONFINE REGIONALE TOSCANA";"434";"0";"420";"14";"375";"59";"434";"0"
"2021/03";"6";"03/03/2021";"3";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"432";"0";"416";"16";"377";"55";"432";"0"
"2021/03";"6";"03/03/2021";"3";"SS 12 tra Fiumalbo e Abetone";"1 - DA CONFINE REGIONALE LOMBARDIA A CONFINE REGIONALE TOSCANA";"418";"0";"407";"11";"357";"61";"418";"0"
"2021/03";"7";"01/03/2021";"1";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"0 - DA PORRETTA TERME A FERRARA";"2.319";"0";"2.202";"117";"1.988";"331";"2.319";"0"
"2021/03";"7";"01/03/2021";"1";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"1 - DA FERRARA A PORRETTA TERME";"2.337";"0";"2.238";"99";"2.045";"292";"2.337";"0"
"2021/03";"7";"02/03/2021";"2";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"0 - DA PORRETTA TERME A FERRARA";"2.323";"0";"2.217";"106";"2.010";"313";"2.323";"0"
"2021/03";"7";"02/03/2021";"2";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"1 - DA FERRARA A PORRETTA TERME";"2.373";"0";"2.274";"99";"2.046";"327";"2.373";"0"
"2021/03";"7";"03/03/2021";"3";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"0 - DA PORRETTA TERME A FERRARA";"2.539";"1";"2.427";"111";"2.198";"341";"2.539";"0"
"2021/03";"7";"03/03/2021";"3";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"1 - DA FERRARA A PORRETTA TERME";"2.575";"0";"2.482";"93";"2.225";"350";"2.575";"0"
"2021/03";"12";"01/03/2021";"1";"SS 16 al Confine regionale (Marche)";"0 - DA  FERRARA A CONFINE REGIONALE MARCHE";"4.799";"0";"4.461";"338";"4.025";"774";"4.799";"0"
"2021/03";"12";"01/03/2021";"1";"SS 16 al Confine regionale (Marche)";"1 - DA CONFINE REGIONALE MARCHE A  FERRARA";"5.184";"0";"4.835";"349";"4.369";"815";"5.184";"0"
"2021/03";"12";"02/03/2021";"2";"SS 16 al Confine regionale (Marche)";"0 - DA  FERRARA A CONFINE REGIONALE MARCHE";"4.488";"0";"4.177";"311";"3.778";"710";"4.488";"0"
"2021/03";"12";"02/03/2021";"2";"SS 16 al Confine regionale (Marche)";"1 - DA CONFINE REGIONALE MARCHE A  FERRARA";"4.793";"0";"4.467";"326";"4.069";"724";"4.793";"0"
"2021/03";"12";"03/03/2021";"3";"SS 16 al Confine regionale (Marche)";"0 - DA  FERRARA A CONFINE REGIONALE MARCHE";"4.586";"0";"4.270";"316";"3.878";"708";"4.586";"0"
"2021/03";"12";"03/03/2021";"3";"SS 16 al Confine regionale (Marche)";"1 - DA CONFINE REGIONALE MARCHE A  FERRARA";"4.895";"0";"4.578";"317";"4.125";"770";"4.895";"0"
"2021/03";"16";"01/03/2021";"1";"SP 69 in località Pilastri al Confine regionale";"0 - DA CONFINE PROVINCIALE LOMBARDIA A FERRARA";"694";"0";"619";"75";"607";"87";"694";"0"
"2021/03";"16";"01/03/2021";"1";"SP 69 in località Pilastri al Confine regionale";"1 - DA FERRARA A CONFINE PROVINCIALE LOMBARDIA";"692";"0";"633";"59";"572";"120";"692";"0"
"2021/03";"16";"02/03/2021";"2";"SP 69 in località Pilastri al Confine regionale";"0 - DA CONFINE PROVINCIALE LOMBARDIA A FERRARA";"722";"0";"637";"85";"624";"98";"722";"0"
"2021/03";"16";"02/03/2021";"2";"SP 69 in località Pilastri al Confine regionale";"1 - DA FERRARA A CONFINE PROVINCIALE LOMBARDIA";"706";"0";"642";"64";"600";"106";"706";"0"
"2021/03";"16";"03/03/2021";"3";"SP 69 in località Pilastri al Confine regionale";"0 - DA CONFINE PROVINCIALE LOMBARDIA A FERRARA";"685";"0";"613";"72";"583";"102";"685";"0"
"2021/03";"16";"03/03/2021";"3";"SP 69 in località Pilastri al Confine regionale";"1 - DA FERRARA A CONFINE PROVINCIALE LOMBARDIA";"714";"0";"644";"70";"606";"108";"714";"0"
"2021/03";"19";"01/03/2021";"1";"SP 343R tra Colorno e Casalmaggiore";"0 - DA PARMA A CONFINE REGIONALE LOMBARDIA";"4.388";"4";"3.084";"1.300";"3.530";"858";"4.388";"0"
"2021/03";"19";"01/03/2021";"1";"SP 343R tra Colorno e Casalmaggiore";"1 - DA CONFINE REGIONALE LOMBARDIA A PARMA";"4.557";"1";"3.233";"1.323";"3.600";"957";"4.557";"0"
"2021/03";"19";"02/03/2021";"2";"SP 343R tra Colorno e Casalmaggiore";"0 - DA PARMA A CONFINE REGIONALE LOMBARDIA";"4.477";"15";"3.174";"1.288";"3.624";"853";"4.477";"0"
"2021/03";"19";"02/03/2021";"2";"SP 343R tra Colorno e Casalmaggiore";"1 - DA CONFINE REGIONALE LOMBARDIA A PARMA";"4.479";"1";"3.252";"1.226";"3.552";"927";"4.479";"0"
"2021/03";"19";"03/03/2021";"3";"SP 343R tra Colorno e Casalmaggiore";"0 - DA PARMA A CONFINE REGIONALE LOMBARDIA";"3.961";"35";"2.900";"1.026";"3.122";"839";"3.961";"0"
"2021/03";"19";"03/03/2021";"3";"SP 343R tra Colorno e Casalmaggiore";"1 - DA CONFINE REGIONALE LOMBARDIA A PARMA";"4.494";"2";"3.187";"1.305";"3.527";"967";"4.494";"0"
"2021/03";"25";"01/03/2021";"1";"SS 9 tra San Prospero (Case Crostolo) e Sant'Ilario d'Enza";"0 - DA RIMINI A PIACENZA";"12.786";"0";"11.612";"1.174";"10.612";"2.174";"12.786";"0"
"2021/03";"25";"01/03/2021";"1";"SS 9 tra San Prospero (Case Crostolo) e Sant'Ilario d'Enza";"1 - DA PIACENZA A RIMINI";"12.621";"1";"11.567";"1.053";"10.395";"2.226";"12.621";"0"
"2021/03";"25";"02/03/2021";"2";"SS 9 tra San Prospero (Case Crostolo) e Sant'Ilario d'Enza";"0 - DA RIMINI A PIACENZA";"12.873";"0";"11.734";"1.139";"10.536";"2.337";"12.873";"0"
"2021/03";"25";"02/03/2021";"2";"SS 9 tra San Prospero (Case Crostolo) e Sant'Ilario d'Enza";"1 - DA PIACENZA A RIMINI";"12.795";"1";"11.719";"1.075";"10.392";"2.403";"12.795";"0"
"2021/03";"25";"03/03/2021";"3";"SS 9 tra San Prospero (Case Crostolo) e Sant'Ilario d'Enza";"0 - DA RIMINI A PIACENZA";"13.212";"1";"11.995";"1.216";"10.801";"2.411";"13.212";"0"
"2021/03";"25";"03/03/2021";"3";"SS 9 tra San Prospero (Case Crostolo) e Sant'Ilario d'Enza";"1 - DA PIACENZA A RIMINI";"12.959";"2";"11.876";"1.081";"10.491";"2.468";"12.959";"0"
"2021/03";"29";"01/03/2021";"1";"SS 9 tra Modena e Rubiera";"0 - DA RIMINI A PIACENZA";"9.026";"0";"7.929";"1.097";"7.420";"1.606";"9.026";"0"
"2021/03";"29";"01/03/2021";"1";"SS 9 tra Modena e Rubiera";"1 - DA PIACENZA A RIMINI";"8.760";"0";"7.738";"1.022";"7.470";"1.290";"8.760";"0"
"2021/03";"29";"02/03/2021";"2";"SS 9 tra Modena e Rubiera";"0 - DA RIMINI A PIACENZA";"8.972";"0";"7.923";"1.049";"7.185";"1.787";"8.972";"0"
"2021/03";"29";"02/03/2021";"2";"SS 9 tra Modena e Rubiera";"1 - DA PIACENZA A RIMINI";"8.631";"0";"7.566";"1.065";"7.064";"1.567";"8.631";"0"
"2021/03";"29";"03/03/2021";"3";"SS 9 tra Modena e Rubiera";"0 - DA RIMINI A PIACENZA";"9.636";"0";"8.440";"1.196";"7.687";"1.949";"9.636";"0"
"2021/03";"29";"03/03/2021";"3";"SS 9 tra Modena e Rubiera";"1 - DA PIACENZA A RIMINI";"9.135";"0";"7.983";"1.152";"7.533";"1.602";"9.135";"0"
"2021/03";"53";"01/03/2021";"1";"SS 309 a San Giuseppe di Comacchio";"0 - DA RAVENNA A CONFINE REGIONALE VENETO";"4.228";"0";"2.637";"1.591";"3.425";"803";"4.228";"0"
"2021/03";"53";"01/03/2021";"1";"SS 309 a San Giuseppe di Comacchio";"1 - DA CONFINE REGIONALE VENETO A RAVENNA";"4.677";"0";"2.702";"1.975";"3.678";"999";"4.677";"0"
"2021/03";"53";"02/03/2021";"2";"SS 309 a San Giuseppe di Comacchio";"0 - DA RAVENNA A CONFINE REGIONALE VENETO";"4.384";"0";"2.459";"1.925";"3.557";"827";"4.384";"0"
