"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Corsia";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2021/03";"6";"18/03/2021";"4";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"353";"0";"336";"17";"318";"35";"353";"0"
"2021/03";"6";"18/03/2021";"4";"SS 12 tra Fiumalbo e Abetone";"1 - DA CONFINE REGIONALE LOMBARDIA A CONFINE REGIONALE TOSCANA";"350";"0";"334";"16";"316";"34";"350";"0"
"2021/03";"6";"19/03/2021";"5";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"451";"0";"432";"19";"368";"83";"451";"0"
"2021/03";"6";"19/03/2021";"5";"SS 12 tra Fiumalbo e Abetone";"1 - DA CONFINE REGIONALE LOMBARDIA A CONFINE REGIONALE TOSCANA";"366";"0";"350";"16";"321";"45";"366";"0"
"2021/03";"6";"20/03/2021";"6";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"396";"0";"389";"7";"336";"60";"0";"396"
"2021/03";"6";"20/03/2021";"6";"SS 12 tra Fiumalbo e Abetone";"1 - DA CONFINE REGIONALE LOMBARDIA A CONFINE REGIONALE TOSCANA";"368";"0";"361";"7";"309";"59";"0";"368"
"2021/03";"6";"21/03/2021";"7";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"286";"0";"286";"0";"240";"46";"0";"286"
"2021/03";"6";"21/03/2021";"7";"SS 12 tra Fiumalbo e Abetone";"1 - DA CONFINE REGIONALE LOMBARDIA A CONFINE REGIONALE TOSCANA";"361";"0";"360";"1";"319";"42";"0";"361"
"2021/03";"6";"22/03/2021";"1";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"369";"0";"347";"22";"322";"47";"369";"0"
"2021/03";"6";"22/03/2021";"1";"SS 12 tra Fiumalbo e Abetone";"1 - DA CONFINE REGIONALE LOMBARDIA A CONFINE REGIONALE TOSCANA";"370";"1";"352";"17";"317";"53";"370";"0"
"2021/03";"6";"23/03/2021";"2";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"402";"0";"389";"13";"362";"40";"402";"0"
"2021/03";"6";"23/03/2021";"2";"SS 12 tra Fiumalbo e Abetone";"1 - DA CONFINE REGIONALE LOMBARDIA A CONFINE REGIONALE TOSCANA";"379";"0";"368";"11";"335";"44";"379";"0"
"2021/03";"6";"24/03/2021";"3";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"394";"0";"381";"13";"342";"52";"394";"0"
"2021/03";"6";"24/03/2021";"3";"SS 12 tra Fiumalbo e Abetone";"1 - DA CONFINE REGIONALE LOMBARDIA A CONFINE REGIONALE TOSCANA";"387";"0";"375";"12";"335";"52";"387";"0"
"2021/03";"6";"25/03/2021";"4";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"491";"0";"470";"21";"434";"57";"491";"0"
"2021/03";"6";"25/03/2021";"4";"SS 12 tra Fiumalbo e Abetone";"1 - DA CONFINE REGIONALE LOMBARDIA A CONFINE REGIONALE TOSCANA";"493";"0";"467";"26";"414";"79";"493";"0"
"2021/03";"6";"26/03/2021";"5";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"742";"0";"716";"26";"592";"150";"742";"0"
"2021/03";"6";"26/03/2021";"5";"SS 12 tra Fiumalbo e Abetone";"1 - DA CONFINE REGIONALE LOMBARDIA A CONFINE REGIONALE TOSCANA";"705";"0";"681";"24";"581";"124";"705";"0"
"2021/03";"6";"27/03/2021";"6";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"844";"0";"833";"11";"730";"114";"0";"844"
"2021/03";"6";"27/03/2021";"6";"SS 12 tra Fiumalbo e Abetone";"1 - DA CONFINE REGIONALE LOMBARDIA A CONFINE REGIONALE TOSCANA";"797";"0";"783";"14";"703";"94";"0";"797"
"2021/03";"6";"28/03/2021";"7";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"732";"0";"723";"9";"612";"120";"0";"732"
