"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2021/03";"6";"04/03/2021";"4";"SS 12 tra Fiumalbo e Abetone";"778";"0";"746";"32";"690";"88";"778";"0"
"2021/03";"6";"05/03/2021";"5";"SS 12 tra Fiumalbo e Abetone";"867";"0";"836";"31";"742";"125";"867";"0"
"2021/03";"6";"06/03/2021";"6";"SS 12 tra Fiumalbo e Abetone";"722";"0";"702";"20";"613";"109";"0";"722"
"2021/03";"6";"07/03/2021";"7";"SS 12 tra Fiumalbo e Abetone";"585";"0";"582";"3";"518";"67";"0";"585"
"2021/03";"6";"08/03/2021";"1";"SS 12 tra Fiumalbo e Abetone";"727";"0";"694";"33";"624";"103";"727";"0"
"2021/03";"6";"09/03/2021";"2";"SS 12 tra Fiumalbo e Abetone";"700";"0";"678";"22";"622";"78";"700";"0"
"2021/03";"6";"10/03/2021";"3";"SS 12 tra Fiumalbo e Abetone";"659";"0";"636";"23";"573";"86";"659";"0"
"2021/03";"6";"11/03/2021";"4";"SS 12 tra Fiumalbo e Abetone";"650";"0";"629";"21";"583";"67";"650";"0"
"2021/03";"6";"12/03/2021";"5";"SS 12 tra Fiumalbo e Abetone";"699";"0";"668";"31";"604";"95";"699";"0"
"2021/03";"6";"13/03/2021";"6";"SS 12 tra Fiumalbo e Abetone";"598";"0";"583";"15";"529";"69";"0";"598"
"2021/03";"6";"14/03/2021";"7";"SS 12 tra Fiumalbo e Abetone";"407";"0";"403";"4";"350";"57";"0";"407"
"2021/03";"6";"15/03/2021";"1";"SS 12 tra Fiumalbo e Abetone";"602";"0";"567";"35";"514";"88";"602";"0"
"2021/03";"6";"16/03/2021";"2";"SS 12 tra Fiumalbo e Abetone";"671";"2";"633";"36";"600";"71";"671";"0"
"2021/03";"6";"17/03/2021";"3";"SS 12 tra Fiumalbo e Abetone";"635";"1";"592";"42";"567";"68";"635";"0"
"2021/03";"7";"04/03/2021";"4";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.260";"1";"4.055";"204";"3.685";"575";"4.260";"0"
"2021/03";"7";"05/03/2021";"5";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.739";"0";"4.516";"223";"4.062";"677";"4.739";"0"
"2021/03";"7";"06/03/2021";"6";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"3.661";"1";"3.570";"90";"3.213";"448";"0";"3.661"
"2021/03";"7";"07/03/2021";"7";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"1.836";"0";"1.810";"26";"1.571";"265";"0";"1.836"
"2021/03";"7";"08/03/2021";"1";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.487";"0";"4.288";"199";"3.853";"634";"4.487";"0"
"2021/03";"7";"09/03/2021";"2";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.357";"0";"4.124";"233";"3.739";"618";"4.357";"0"
"2021/03";"7";"10/03/2021";"3";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.486";"0";"4.270";"216";"3.814";"672";"4.486";"0"
"2021/03";"7";"11/03/2021";"4";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.278";"3";"4.091";"184";"3.678";"600";"4.278";"0"
"2021/03";"7";"12/03/2021";"5";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.935";"0";"4.705";"230";"4.260";"675";"4.935";"0"
"2021/03";"7";"13/03/2021";"6";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"3.873";"0";"3.760";"113";"3.391";"482";"0";"3.873"
"2021/03";"7";"14/03/2021";"7";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"1.995";"0";"1.967";"28";"1.724";"271";"0";"1.995"
"2021/03";"7";"15/03/2021";"1";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.409";"0";"4.173";"236";"3.808";"601";"4.409";"0"
"2021/03";"7";"16/03/2021";"2";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.410";"0";"4.204";"206";"3.795";"615";"4.410";"0"
"2021/03";"7";"17/03/2021";"3";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.501";"0";"4.278";"223";"3.862";"639";"4.501";"0"
"2021/03";"12";"04/03/2021";"4";"SS 16 al Confine regionale (Marche)";"9.591";"0";"8.989";"602";"8.073";"1.518";"9.591";"0"
"2021/03";"12";"05/03/2021";"5";"SS 16 al Confine regionale (Marche)";"9.705";"0";"9.101";"604";"8.156";"1.549";"9.705";"0"
"2021/03";"12";"06/03/2021";"6";"SS 16 al Confine regionale (Marche)";"5.620";"0";"5.436";"184";"4.724";"896";"0";"5.620"
"2021/03";"12";"07/03/2021";"7";"SS 16 al Confine regionale (Marche)";"2.585";"0";"2.551";"34";"2.009";"576";"0";"2.585"
"2021/03";"12";"08/03/2021";"1";"SS 16 al Confine regionale (Marche)";"8.194";"0";"7.600";"594";"6.916";"1.278";"8.194";"0"
"2021/03";"12";"09/03/2021";"2";"SS 16 al Confine regionale (Marche)";"8.578";"0";"7.956";"622";"7.229";"1.349";"8.578";"0"
"2021/03";"12";"10/03/2021";"3";"SS 16 al Confine regionale (Marche)";"8.103";"0";"7.470";"633";"6.830";"1.273";"8.103";"0"
"2021/03";"12";"11/03/2021";"4";"SS 16 al Confine regionale (Marche)";"8.403";"0";"7.787";"616";"7.054";"1.349";"8.403";"0"
"2021/03";"12";"12/03/2021";"5";"SS 16 al Confine regionale (Marche)";"8.442";"0";"7.873";"569";"7.093";"1.349";"8.442";"0"
"2021/03";"12";"13/03/2021";"6";"SS 16 al Confine regionale (Marche)";"4.397";"0";"4.205";"192";"3.640";"757";"0";"4.397"
