"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2021/03";"6";"18/03/2021";"4";"SS 12 tra Fiumalbo e Abetone";"703";"0";"670";"33";"634";"69";"703";"0"
"2021/03";"6";"19/03/2021";"5";"SS 12 tra Fiumalbo e Abetone";"817";"0";"782";"35";"689";"128";"817";"0"
"2021/03";"6";"20/03/2021";"6";"SS 12 tra Fiumalbo e Abetone";"764";"0";"750";"14";"645";"119";"0";"764"
"2021/03";"6";"21/03/2021";"7";"SS 12 tra Fiumalbo e Abetone";"647";"0";"646";"1";"559";"88";"0";"647"
"2021/03";"6";"22/03/2021";"1";"SS 12 tra Fiumalbo e Abetone";"739";"1";"699";"39";"639";"100";"739";"0"
"2021/03";"6";"23/03/2021";"2";"SS 12 tra Fiumalbo e Abetone";"781";"0";"757";"24";"697";"84";"781";"0"
"2021/03";"6";"24/03/2021";"3";"SS 12 tra Fiumalbo e Abetone";"781";"0";"756";"25";"677";"104";"781";"0"
"2021/03";"6";"25/03/2021";"4";"SS 12 tra Fiumalbo e Abetone";"984";"0";"937";"47";"848";"136";"984";"0"
"2021/03";"6";"26/03/2021";"5";"SS 12 tra Fiumalbo e Abetone";"1.447";"0";"1.397";"50";"1.173";"274";"1.447";"0"
"2021/03";"6";"27/03/2021";"6";"SS 12 tra Fiumalbo e Abetone";"1.641";"0";"1.616";"25";"1.433";"208";"0";"1.641"
"2021/03";"6";"28/03/2021";"7";"SS 12 tra Fiumalbo e Abetone";"1.484";"0";"1.468";"16";"1.284";"200";"0";"1.484"
"2021/03";"6";"29/03/2021";"1";"SS 12 tra Fiumalbo e Abetone";"1.284";"0";"1.261";"23";"1.024";"260";"1.284";"0"
"2021/03";"6";"30/03/2021";"2";"SS 12 tra Fiumalbo e Abetone";"1.292";"1";"1.249";"42";"1.135";"157";"1.292";"0"
"2021/03";"6";"31/03/2021";"3";"SS 12 tra Fiumalbo e Abetone";"895";"0";"859";"36";"781";"114";"895";"0"
"2021/03";"7";"18/03/2021";"4";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.434";"1";"4.231";"202";"3.800";"634";"4.434";"0"
"2021/03";"7";"19/03/2021";"5";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.857";"1";"4.646";"210";"4.146";"711";"4.857";"0"
"2021/03";"7";"20/03/2021";"6";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.028";"0";"3.919";"109";"3.564";"464";"0";"4.028"
"2021/03";"7";"21/03/2021";"7";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"2.224";"0";"2.199";"25";"1.923";"301";"0";"2.224"
"2021/03";"7";"22/03/2021";"1";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.425";"4";"4.214";"207";"3.772";"653";"4.425";"0"
"2021/03";"7";"23/03/2021";"2";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.654";"5";"4.441";"208";"3.999";"655";"4.654";"0"
"2021/03";"7";"24/03/2021";"3";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.705";"0";"4.479";"226";"4.005";"700";"4.705";"0"
"2021/03";"7";"25/03/2021";"4";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.639";"0";"4.443";"196";"4.010";"629";"4.639";"0"
"2021/03";"7";"26/03/2021";"5";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"5.092";"1";"4.885";"206";"4.348";"744";"5.092";"0"
"2021/03";"7";"27/03/2021";"6";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.529";"0";"4.414";"115";"4.005";"524";"0";"4.529"
"2021/03";"7";"28/03/2021";"7";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"2.411";"0";"2.381";"30";"2.010";"401";"0";"2.411"
