"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2021/03";"6";"31/03/2021";"3";"SS 12 tra Fiumalbo e Abetone";"895";"0";"859";"36";"781";"114";"895";"0"
"2021/03";"7";"31/03/2021";"3";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"5.112";"0";"4.879";"233";"4.306";"806";"5.112";"0"
"2021/03";"12";"31/03/2021";"3";"SS 16 al Confine regionale (Marche)";"8.933";"1";"8.366";"566";"7.431";"1.502";"8.933";"0"
"2021/03";"16";"31/03/2021";"3";"SP 69 in località Pilastri al Confine regionale";"1.375";"0";"1.235";"140";"1.152";"223";"1.375";"0"
"2021/03";"19";"31/03/2021";"3";"SP 343R tra Colorno e Casalmaggiore";"8.955";"2";"6.352";"2.601";"7.142";"1.813";"8.955";"0"
"2021/03";"25";"31/03/2021";"3";"SS 9 tra San Prospero (Case Crostolo) e Sant'Ilario d'Enza";"24.154";"2";"21.861";"2.291";"19.473";"4.681";"24.154";"0"
"2021/03";"29";"31/03/2021";"3";"SS 9 tra Modena e Rubiera";"17.272";"0";"14.760";"2.512";"13.999";"3.273";"17.272";"0"
"2021/03";"53";"31/03/2021";"3";"SS 309 a San Giuseppe di Comacchio";"8.916";"0";"4.883";"4.033";"6.984";"1.932";"8.916";"0"
"2021/03";"95";"31/03/2021";"3";"SP 10R tra Castel San Giovanni e Sarmato";"11.547";"0";"10.451";"1.096";"8.951";"2.596";"11.547";"0"
"2021/03";"98";"31/03/2021";"3";"SP 302R tra Brisighella e Marradi";"2.311";"0";"2.178";"133";"1.888";"423";"2.311";"0"
"2021/03";"100";"31/03/2021";"3";"SP 258R tra Villa Verucchio ed ex Confine regionale (località Dogana)";"11.846";"1";"10.565";"1.280";"9.768";"2.078";"11.846";"0"
"2021/03";"104";"31/03/2021";"3";"SP 10 nuovo ponte sul Po tra innesto variante Zibello e confine regionale (Lombardia)";"2.252";"1";"1.551";"700";"1.826";"426";"2.252";"0"
"2021/03";"107";"31/03/2021";"3";"SP 85 tra Rubiera e bivio SP 13MO (c/o Campogalliano)";"7.446";"2";"6.447";"997";"6.061";"1.385";"7.446";"0"
"2021/03";"108";"31/03/2021";"3";"SP 412R tra Castel San Giovanni (Casello A 21) e ponte fiume Po";"8.942";"9";"8.609";"324";"6.418";"2.524";"8.942";"0"
"2021/03";"112";"31/03/2021";"3";"SP 111 tra Boretto e Viadana sul ponte Po";"10.645";"1";"8.624";"2.020";"8.566";"2.079";"10.645";"0"
"2021/03";"115";"31/03/2021";"3";"SP 68 ad Ariano Polesine al Confine regionale (Veneto)";"1.956";"0";"1.663";"293";"1.576";"380";"1.956";"0"
"2021/03";"116";"31/03/2021";"3";"SP 138 tra S.Piero in Bagno (E 45) e Bagno di Romagna";"3.207";"3";"2.997";"207";"2.772";"435";"3.207";"0"
"2021/03";"117";"31/03/2021";"3";"SS 63 tra Collagna e Sassalbo (Passo del Cerreto)";"355";"0";"314";"41";"305";"50";"355";"0"
"2021/03";"118";"31/03/2021";"3";"SS 45 tra Ottone e Gorreto";"354";"1";"337";"16";"293";"61";"354";"0"
"2021/03";"122";"31/03/2021";"3";"SP 10R tra Piacenza (ponte fiume Trebbia) e San Nicolo'";"21.575";"3";"20.123";"1.449";"17.123";"4.452";"21.575";"0"
"2021/03";"123";"31/03/2021";"3";"SP 28 tra Piacenza (Tangenziale Sud) e Gossolengo";"13.772";"1";"13.254";"517";"11.424";"2.348";"13.772";"0"
"2021/03";"124";"31/03/2021";"3";"SS 45 tra Piacenza e Settima";"";"";"";"";"";"";"";""
"2021/03";"125";"31/03/2021";"3";"SP 654R tra Piacenza (Tangenziale Sud) e Turro";"19.350";"0";"18.218";"1.132";"16.300";"3.050";"19.350";"0"
"2021/03";"126";"31/03/2021";"3";"SP 6 tra Piacenza (Tangenziale Sud) e bivio SP 42/ponte fiume Nure in località San Giorgio Piacentino";"12.973";"1";"12.300";"672";"10.798";"2.175";"12.973";"0"
