COGNOME;DIFFUSIONE
ASCIONE;44
BUSANI;44
CAMORANI;44
CAMPOSANO;44
CASSINADRI;44
CAVAZZOLI;44
CONSOLINI;44
FRIGGERI;44
IBATICI;44
LAMANNA;44
MARASTONI;44
MAZZEI;44
MONTICELLI;44
VALERIO;44
YABRE;44
ATTOLINI;43
BELLEI;43
CAMPARI;43
CARBOGNANI;43
ERRICO;43
GAROFALO;43
GHIRRI;43
IMOVILLI;43
LAZZARINI;43
MALAVASI;43
PELLEGRINO;43
SERRA;43
SESTITO;43
ZEQAJ;43
BARONE;42
CAVANDOLI;42
CORDUA;42
D'ANDREA;42
DAVIDDI;42
FUSCO;42
GAMBETTI;42
LANDI;42
RANIERI;42
RICCIO;42
SCALISE;42
SILIPO;42
VENTURELLI;42
BONETTI;41
DAOLIO;41
GARIMBERTI;41
GENITONI;41
LONGO;41
PAPALEO;41
PARISI;41
RICCHETTI;41
RUFFINI;41
RUINI;41
SACCHETTI;41
SACCHI;41
TONI;41
YEBOAH;41
ZANNINI;41
ZANTI;41
BARICCHI;40
CANTONI;40
CAVALLETTI;40
CERRI;40
JI;40
MORANDI;40
NOBILI;40
PATRONCINI;40
PONTI;40
REDEGHIERI;40
ROMAGNANI;40
RUSU;40
SANNA;40
TERZI;40
VERGNANI;40
BARALDI;39
BAZZANI;39
BERETTI;39
DI LORENZO;39
DOLCI;39
FELICI;39
FERRABOSCHI;39
FERRARONI;39
FRANCESCHETTI;39
GASPARI;39
GEMMI;39
NEVIANI;39
SCALA;39
VALENTINO;39
BARBA;38
CARRI;38
CATALDO;38
CAVALLINI;38
GORINI;38
LODI;38
MESSAOUD;38
NDIAYE;38
PALMIERI;38
PAOLINI;38
REGNANI;38
ZANI;38
ALFANO;37
AMEGLIO;37
BORRELLI;37
BRIGHENTI;37
CAPASSO;37
CARNEVALI;37
D'AGOSTINO;37
DEL BUE;37
GOLDONI;37
KURTI;37
MANNA;37
MASEROLI;37
MORATTI;37
OLIVA;37
PANTALEONI;37
PARMIGGIANI;37
PERRONE;37
SELIGARDI;37
SILIGARDI;37
TURRA';37
ALDINI;36
ARABIA;36
ASAMOAH;36
BINI;36
BONDI;36
BOSI;36
CANALI;36
CARBONE;36
CASARINI;36
COLI;36
D'AMICO;36
FARRUKU;36
FRASCARI;36
GALAVERNI;36
GARAVALDI;36
GASHI;36
GIARONI;36
GRIMALDI;36
MARRA;36
MERCATI;36
PIZZETTI;36
PRATISSOLI;36
ZECCHETTI;36
ZINANI;36
ALBERTI;35
ALOI;35
AZZOLINI;35
BARBERIO;35
BEZZI;35
BONARETTI;35
BRINDANI;35
CAVATORTI;35
DELRIO;35
FARRI;35
FAVALI;35
GERACE;35
GIANOTTI;35
MELE;35
NOBILE;35
PEDRINI;35
POPA;35
RAZZOLI;35
VALENTE;35
BARAZZONI;34
BELLESIA;34
BENATI;34
BENEDETTI;34
BERTI;34
CASTELLINI;34
CATELLI;34
CONTINI;34
CUOMO;34
D'AMBROSIO;34
FAIETTI;34
FRATTINI;34
GERMINI;34
GHERPELLI;34
GIBERTONI;34
HAMDI;34
LIPEROTI;34
MACCHIONI;34
MENZA';34
MONACO;34
PAOLI;34
PASCARELLA;34
PEPE;34
ROSSETTI;34
ROVATTI;34
SANI;34
TAMELLI;34
TESTA;34
VEZZALI;34
VILLIRILLO;34
BERGOMI;33
BORETTI;33
BREVINI;33
CALO';33
GHINOLFI;33
GHIRARDINI;33
GIORDANI;33
GRASSO;33
LEONE;33
MAZZOLI;33
MONTANINI;33
NATALE;33
SIMBARI;33
VERONA;33
BALDINI;32
BARBARO;32
BEDOCCHI;32
BERSELLI;32
BYTYQI;32
CAVECCHI;32
CIGNI;32
COSTANTINO;32
DALLAI;32
DE SIMONE;32
FANTOZZI;32
FARINA;32
GALASSO;32
GUERRI;32
MELI;32
MESSINA;32
MIGALE;32
MONTIPO';32
MONTORSI;32
OLIVIERO;32
PEDRAZZOLI;32
PIGNEDOLI;32
PIOLI;32
RUGGERI;32
STEFANI;32
TENEGGI;32
TODARO;32
AMBROGI;31
BISI;31
CAIUMI;31
CARONI;31
CELA;31
CIARLINI;31
CONFORTI;31
D'AMATO;31
DORIA;31
FORNARI;31
FRIMPONG;31
GRILLO;31
GUEYE;31
IZZO;31
KODRA;31
LIGUORI;31
MARCHESI;31
MARINI;31
NICOLI;31
PANISI;31
PAPA;31
PERNA;31
RODOLFI;31
ROTONDO;31
RUSTICHELLI;31
TAMBURINI;31
TRIVIERI;31
ZACCARIA;31
ZAMBONINI;31
AGYEMANG;30
ALBERINI;30
AUGENTI;30
BORZIANI;30
BRESCIA;30
CAMPANA;30
DE MARTINO;30
DEMME;30
DI MARTINO;30
FANTESINI;30
FASANO;30
FERRONI;30
FORTESE;30
FRANCHINI;30
GUO;30
LAMBERTI;30
LOTTI;30
MANENTI;30
MARRONE;30
NAPOLITANO;30
OLMI;30
OPOKU;30
PALLADINO;30
RESHANI;30
SIMONELLI;30
TARASCONI;30
TERRACCIANO;30
THIAM;30
TROLLI;30
VELLANI;30
VERZELLESI;30
ZACCARELLI;30
ZAMPOU;30
ZANIBONI;30
ZOBOLI;30
ANASTASI;29
BARONCINI;29
BOSELLI;29
BRUGELLIS;29
CANTAGALLI;29
CAPILUPPI;29
CASTALDO;29
CAVALLARO;29
COLLINI;29
COPELLI;29
FIENI;29
FIORI;29
FORACCHIA;29
FRANCO;29
HOXHAJ;29
KUMAR;29
LANGELLA;29
LUSOLI;29
MORSELLI;29
MUHAMMAD;29
OLIVIERI;29
PARMIGIANI;29
PELATI;29
SAVAZZA;29
SIGNORELLI;29
SOPRANI;29
TOGNONI;29
TROTTA;29
TURCI;29
VINCETI;29
ZANONI;29
ZECCHINI;29
ZIRONI;29
ZUCCHI;29
AHMED;28
BELLINI;28
BERGAMINI;28
BRAGHIROLI;28
BUCCI;28
CAPELLI;28
CIAMPA';28
CORSINI;28
COSTOLI;28
DE SANTIS;28
DI PIETRO;28
DOLCE;28
FERIOLI;28
FRANZINI;28
GIANSOLDATI;28
GIOVANELLI;28
LUONGO;28
MELIS;28
PETRONE;28
PICCOLO;28
PIGOZZI;28
RAIMONDO;28
RAINIERI;28
ROSI;28
SBERVEGLIERI;28
TALLARICO;28
ZULIANI;28
ADAMO;27
ADJEI;27
ALBARELLI;27
ALIU;27
ARENA;27
BACCARINI;27
BELLENTANI;27
BENATTI;27
CAMPARINI;27
CAPUTO;27
CARLETTI;27
CASI;27
CASOLARI;27
CATALANO;27
CIRLINI;27
COSTETTI;27
DE BIANCHI;27
FALCONE;27
LARI;27
MARINELLI;27
MAZZACANI;27
MBAYE;27
MUNTEANU;27
NARDELLA;27
NASTA;27
PIGNAGNOLI;27
PINTO;27
ROMEI;27
TOGNETTI;27
TONELLI;27
VOLTOLINI;27
ALVISI;26
BATTISTA;26
BENELLI;26
BONIBURINI;26
BOSCO;26
CAGNOLATI;26
COTTAFAVA;26
D'ALESSANDRO;26
DI STEFANO;26
DIALLO;26
FANTI;26
FIORANI;26
GIACOPINI;26
HALITJAHA;26
ILIE;26
LECCE;26
MANFREDA;26
MARTELLI;26
MASETTI;26
MAURO;26
MILANO;26
MOHAMED;26
MORSIANI;26
MUSI;26
PANINI;26
PARENTI;26
PELLINI;26
PEZZELLA;26
RIVETTI;26
SABATTINI;26
SCHIAVONE;26
SECCHI;26
SIDOLI;26
TALAMI;26
VENEZIANI;26
VIRELLI;26
ZAVARONI;26
ABBRUZZESE;25
AHMETI;25
ARLEONI;25
BATTISTINI;25
BONDIOLI;25
BOUSSIM;25
CHENG;25
CORTI;25
COSCELLI;25
DAVOLIO MARANI;25
DE STEFANO;25
FERRO;25
FIORONI;25
FORGHIERI;25
FRATTI;25
GEMMA;25
GIULIANO;25
GIUNTA;25
GRANATA;25
HAMMAMI;25
INCERTI MASSIMINI;25
IODICE;25
IORIO;25
LUCENTI;25
MACCAGNANI;25
MELONI;25
NARDO;25
ORSINI;25
PAGLIARINI;25
PALOMBELLA;25
PEDRAZZI;25
PIFFERI;25
POLETTI;25
RAZZINI;25
RICCARDI;25
ROMEO;25
SANTANGELO;25
SARACCHI;25
SCALTRITI;25
SUBAZZOLI;25
SUN;25
TEGGI;25
TOSCANO;25
VERDE;25
VINCI;25
VISCIONE;25
AGOSTI;24
AMENDOLA;24
AMRI;24
BERTACCHINI;24
BIONDI;24
BOCCONI;24
BORRIELLO;24
BURATTI;24
CAPITANI;24
CECI;24
CHAIBI;24
DAVID;24
DEPIETRI;24
DERVISHI;24
DI MAURO;24
DIANA;24
FANTICINI;24
FONTANELLI;24
FRAU;24
GRISI;24
IBRAHIM;24
INNOCENTI;24
KODHELI;24
LEO;24
MAGGIO;24
MATRONE;24
MENNELLA;24
NICOLETTI;24
ORI;24
ORLANDI;24
PADOVANI;24
PERRI;24
PIACENTINI;24
PIAZZA;24
RAVAZZINI;24
RICCIARDI;24
ROCCA;24
RONDANINI;24
SARATI;24
SARPONG;24
SAVINO;24
SCARANO;24
TAGLIAMONTE;24
TARONI;24
TEGONI;24
TELLINI;24
VESCOVI;24
ZANASI;24
ALDROVANDI;23
ANTICHI;23
ARATI;23
AVAGLIANO;23
AVERSA;23
BASCHIERI;23
BERTINI;23
BERTOLI;23
BONETTA;23
BOUKAL;23
CAMUNCOLI;23
CAPUANO;23
CURCIO;23
DE BARRE;23
FABBRI;23
FERRAIOLI;23
GIACOMINI;23
GIGANTE;23
GIGLI;23
GRISANTI;23
GUIDI;23
LEURINI;23
MANZO;23
MARTUCCI;23
MARZANO;23
MOSCATELLI;23
PACE;23
PAGANI;23
PETACCHI;23
RIZZUTO;23
ROCCO;23
SCANDALE;23
SPERONI;23
STIRPARO;23
ABATIELLO;22
ALBANO;22
ALFIERI;22
ALLEGRI;22
ANNUNZIATA;22
BALDELLI;22
BALDUINO;22
BARACCHI;22
BARBATO;22
BASSO;22
BELLONI;22
BERTUCCI;22
BOAKYE;22
BORTOLOTTI;22
BOSCHINI;22
CALERI;22
CAMPISI;22
CARLUCCI;22
CISSE;22
COSTANTINI;22
COSTANZO;22
D'AMORE;22
DANIELE;22
FARAGO';22
GALIMBERTI;22
GHIRELLI;22
GIUDICE;22
GUARNIERI;22
HASSAN;22
ILARI;22
INCERTI DELMONTE;22
LA ROSA;22
LUPI;22
MAZZINI;22
MERLI;22
MIELE;22
NOCCO;22
PALERMO;22
PAN;22
PELLACANI;22
PIETRI;22
PLACIDO;22
PRINA;22
RADIGHIERI;22
RANDAZZO;22
RONCHETTI;22
SABATINO;22
SABBADINI;22
SANGO;22
SEFA;22
SPADACCINI;22
SPINELLI;22
VERGALLI;22
VICENTINI;22
VOCE;22
ZANOTTI;22
ZOBBI;22
ADANI;21
ARCURI;21
ASANTE;21
BONORETTI;21
BUONO;21
CECCARDI;21
DARKO;21
DI DONATO;21
DONATO;21
ELEFANTE;21
FONTANI;21
GABRIELLI;21
GALVANI;21
GAZZINI;21
GIANNASI;21
HE;21
IERARDI;21
INCERTI VEZZANI;21
LAI;21
LAZZARI;21
LEVRINI;21
LUO;21
MAGNAVACCHI;21
MARCHESINI;21
MAURONE;21
MINEO;21
MIRON;21
MORRA;21
MOSCA;21
OFORI;21
PANARARI;21
PASTORE;21
PEDRAZZINI;21
PERLA;21
PETROZZA;21
PEZZAROSSI;21
PIGONI;21
RIBECCO;21
ROMANELLI;21
RONDINI;21
RUBINO;21
RUSCELLI;21
SALVINO;21
SIMEONE;21
SIRBU;21
SPEZZANI;21
STURLONI;21
TALARICO;21
TEDESCO;21
TIRABASSI;21
VANNINI;21
VARRIALE;21
ABBAS;20
ALBANESE;20
ANNIGONI;20
ARAPI;20
BALESTRAZZI;20
BARI;20
BELLEZZA;20
BOZZA;20
BRACCO;20
BRONZONI;20
BRUGNOLI;20
BYTYCI;20
CAFFAGNI;20
CALUZZI;20
CAPPERI;20
CARPANONI;20
CARRA;20
CAVALLO;20
CEPELLI;20
COLACINO;20
COLELLA;20
COLOMBO;20
CONCONI;20
CREMASCHI;20
DALLASTA;20
DAVALLI;20
DE VIVO;20
DI PALMA;20
DONATI;20
DONG;20
FACCHINI;20
FAJETI;20
FERRANTE;20
FIORAVANTI;20
FORTE;20
FORTI;20
GIAMPELLEGRINI;20
GIAMPIETRI;20
IANNONE;20
JOHN;20
KONE;20
LELLI;20
MASSARO;20
MASTRANGELO;20
MASTROPIETRO;20
MOCCIA;20
MONTAGNA;20
MURACA;20
MURATAJ;20
MUZZI;20
OREFICE;20
PALADINI;20
PAVESI;20
PEDROTTI;20
PIZZARELLI;20
POTENZA;20
QIRA;20
ROSSINI;20
RUSPAGGIARI;20
SANNINO;20
SCORTICATI;20
SECK;20
SICA;20
SIRONI;20
SOPAJ;20
STEFANELLI;20
SU;20
TASSELLI;20
TORRI;20
VELAJ;20
VINSANI;20
ZAFFERRI;20
ZAPPETTINI;20
ZELIOLI;20
ACAMPORA;19
AGOSTINI;19
ARTHUR;19
AZZIMONDI;19
BARBOLINI;19
BELLOCCHI;19
BERTAZZONI;19
BERTOLA;19
BOLOGNINI;19
BONISOLI;19
BOVE;19
BRIONI;19
BUSCEMA;19
CALEFFI;19
CALIA;19
CANUTI;19
CAPPONI;19
CARNUCCI;19
CASTAGNA;19
CIOBANU;19
COCCOLINI;19
CONFETTI;19
CUCULI;19
D'ONOFRIO;19
DE CRESCENZO;19
DE VIETRO;19
DI BENEDETTO;19
DIOUF;19
DONDI;19
DONNICI;19
DORACI;19
FERRIGNO;19
FORMISANO;19
FORNARO;19
FU;19
GENNARI;19
GENTILI;19
GJERGJI;19
GRANDI;19
IMPROTA;19
IQBAL;19
KAJA;19
MADONNA;19
MAROTTA;19
MASI;19
MASSA;19
MICCOLI;19
NAPOLI;19
ONESTI;19
PELLATI;19
PICCIATI;19
PIGNATTI;19
PIVETTI;19
POLITO;19
PRETI;19
PROCOPIO;19
PUGLIESE;19
RAGNI;19
RAOUANE;19
RUAN;19
RUGGERINI;19
SALVO;19
SCARPA;19
SCARPINO;19
SERGIO;19
SIMONE;19
SIMONETTI;19
STEFANINI;19
STRANIERI;19
TINTERRI;19
TOMA;19
TURCO;19
TUSHA;19
UXHI;19
VASIRANI;19
VETERE;19
VIONI;19
VOLPE;19
XIE;19
ZANELLI;19
ACHEAMPONG;18
ADU;18
AGOSTINELLI;18
AMADEI;18
AMICO;18
ANTWI;18
BALSAMO;18
BELFIORE;18
BELVEDERE;18
BERLINGERI;18
BERNINI;18
BETTUZZI;18
BONIONI;18
BONO;18
BONONI;18
CAMPANELLA;18
CAPORALE;18
CARAPEZZI;18
CARDILLO;18
CARTA;18
CAVALIERI;18
CERIOLI;18
COCCO;18
COLORETTI;18
CONSIGLIO;18
CRIVARO;18
D'AURIA;18
DI MATTEO;18
DI NAPOLI;18
DONNARUMMA;18
EVOLA;18
FALCO;18
FARINELLI;18
FIOCCHI;18
FIORENTINO;18
FREDDI;18
GAGLIARDI;18
GALASSI;18
GALVAN;18
GARA';18
GARERI;18
GAZZANI;18
GIGLIO;18
GORRIERI;18
GUASTI;18
HASANAJ;18
JEMINAJ;18
LANCELLOTTI;18
LANZAFAME;18
LIKA;18
LOFFREDO;18
LORENZANI;18
MALAGUTI;18
MARI;18
MAZZOCCHI;18
MEHDIHOXHA;18
MEREU;18
METAJ;18
MICHELETTI;18
MISTRETTA;18
PALAZZO;18
PALMA;18
PANAIA;18
PAPPALARDO;18
PASTORELLI;18
PEDRETTI;18
PELLACINI;18
PELLI;18
PESENTI;18
PETROLO;18
PINNA;18
PIOPPI;18
PORCU;18
QUARANTA;18
RAIMONDI;18
RIATTI;18
SCARFONE;18
SCHENETTI;18
SODA;18
STELLA;18
TRIA;18
TROVATO;18
VINCENZI;18
ZECCHI;18
ADEBAYO;17
AGNELLO;17
AGYEKUM;17
BALZANO;17
BANSE;17
BATTINI;17
BECCHETTI;17
BELPOLITI;17
BENVENUTO;17
BONANNO;17
BRANDUZZI;17
CARLINI;17
CAVAZZA;17
CHERIF;17
CIRIELLO;17
CREMA;17
DALHOUMI;17
DAMIANO;17
DANI;17
DE FELICE;17
DI FRANCO;17
DIENG;17
FABIANO;17
FESTA;17
FONTANINI;17
GATTAMELATI;17
GENNARO;17
GHIDINI;17
GIORGI;17
GREGORI;17
GUATTERI;17
HASANI;17
HILA;17
IMERAJ;17
KOVAL;17
LONGHI;17
LU;17
LUSVARDI;17
MA;17
MANFREDOTTI;17
MARAZZI;17
MARCELLINI;17
MARIAN;17
MENABO';17
MIRANDA;17
MOHAMMED;17
MUQA;17
MURRIZI;17
OBENG;17
PAINI;17
PALMIERO;17
PANCALDI;17
PANNONE;17
RUBERTELLI;17
SANFELICE;17
SAPORITO;17
SARACINO;17
SARCONE;17
SEPE;17
SPAGNUOLO;17
STERNIERI;17
TAGLIA;17
TRIPOLI;17
UKMAR;17
VALLA;17
VIGHI;17
YAN;17
ZERBINI;17
ZHUO;17
ACCORSI;16
AICARDI;16
ALESSANDRI;16
ALIAJ;16
AMOAH;16
ANASTASIO;16
ANGELI;16
ANGELINI;16
ANTONELLI;16
ARBIZZI;16
ARLETTI;16
BACCARANI;16
BACCI;16
BARGIACCHI;16
BASENGHI;16
BELLUCCI;16
BERISHA;16
BERTARELLI;16
BERTELLI;16
CANGIANO;16
CARANI;16
CARINI;16
CASANOVA;16
CASTELLANI;16
CENINI;16
CODAZZI;16
COLUCCI;16
CORNETTI;16
CRIVELLARO;16
D'INCA';16
D'IPPOLITO;16
DE ANGELIS;16
DE BARRE';16
DEBIDDA;16
DEGL'INCERTI TOCCI;16
DI DIO;16
DI DOMENICO;16
DI GREGORIO;16
DI MAIO;16
DIACCI;16
DRAGO;16
DUNGA;16
DURANTE;16
FALAVIGNA;16
FATTORI;16
