COGNOME;DIFFUSIONE
FERRARI;1468
ROSSI;790
MONTANARI;782
FERRETTI;772
DAVOLI;765
CATELLANI;672
BONACINI;637
IOTTI;616
MENOZZI;571
CORRADINI;547
IORI;543
FONTANESI;538
BARBIERI;491
BERTANI;457
MAGNANI;456
SPAGGIARI;440
SASSI;430
BIGI;417
BERTOLINI;403
GUIDETTI;377
BORGHI;370
SALSI;369
FORNACIARI;359
HU;351
BRAGLIA;349
ORLANDINI;320
PRANDI;315
VEZZANI;309
CHEN;299
BARTOLI;298
BONI;295
VECCHI;295
GRASSI;294
ESPOSITO;286
SONCINI;276
CODELUPPI;274
FERRI;272
BEDOGNI;269
LASAGNI;269
FANTINI;265
PANCIROLI;263
RINALDI;263
BONINI;261
BENASSI;260
SIMONAZZI;260
LUSETTI;259
BURANI;258
PICCININI;255
RUSSO;253
CAMPANI;252
SINGH;251
INCERTI;247
BELTRAMI;244
CASTAGNETTI;239
BONDAVALLI;238
FONTANA;238
FANTUZZI;237
MORINI;220
MUSSINI;215
ZANNI;215
TORELLI;210
POLI;209
MESSORI;205
BOTTAZZI;204
REVERBERI;202
CIGARINI;196
VACONDIO;195
CASOLI;194
PATERLINI;194
COSTI;193
GRASSELLI;192
TONDELLI;192
MATTIOLI;190
CATTANI;189
CASALI;188
LIGABUE;187
LIN;182
MANZINI;182
TEDESCHI;182
ZHOU;182
BASSI;176
ZANICHELLI;175
BIANCHI;174
RONZONI;173
RIVI;172
MANFREDI;171
GOZZI;170
GUALTIERI;169
DENTI;168
MEDICI;163
RINALDINI;162
CANOVI;161
WU;161
COLLI;159
TIRELLI;159
COCCHI;158
MUTO;158
MASINI;157
PRATI;157
BIGLIARDI;155
LEONI;155
BAGNACANI;154
KAUR;154
TAGLIAVINI;154
CROTTI;153
FERRARINI;153
MONTECCHI;152
NOTARI;152
WANG;152
RUOZI;148
ZHANG;148
GOVI;145
PEDRONI;145
RIZZO;145
VACCARI;144
REGGIANI;143
GIAROLI;142
CHIERICI;141
DALLARI;141
GIANFERRARI;141
TORREGGIANI;141
BENEVENTI;140
CARRETTI;140
GILIOLI;140
PREDIERI;138
ANCESCHI;137
RABITTI;136
MANGHI;135
MOTTI;135
RUOZZI;135
SACCANI;135
CAMELLINI;134
MARMIROLI;132
VALENTINI;132
CABASSI;130
GATTI;130
TERENZIANI;129
MARIANI;128
XU;127
GRISENDI;125
GIOVANARDI;124
CERVI;123
CILLONI;122
RICCO';122
ROMANO;122
CASINI;121
AGUZZOLI;120
GRECO;120
MARGINI;120
COPPOLA;119
LIU;119
MARCONI;118
SPALLANZANI;118
ARDUINI;117
GANDOLFI;117
CROCI;116
SPAGNI;116
FIORINI;115
GALEOTTI;115
FABBI;114
GASPARINI;114
GIORDANO;114
RUGGIERO;114
TOSI;114
BOLOGNESI;113
COZZOLINO;113
CURTI;113
MELIOLI;113
MELLI;113
DE LUCA;112
DE PIETRI;112
LUGLI;112
MARTINO;112
PRAMPOLINI;112
BENEVELLI;111
BRUNO;111
CANTARELLI;111
MANFREDINI;111
TORRE;110
VALLI;110
BASSOLI;109
MONTERMINI;109
VIANI;109
FRANZONI;108
FICARELLI;107
ROMANI;107
TRUZZI;107
CAVAZZONI;106
OLIVI;106
TAMAGNINI;106
GABBI;105
VILLA;105
COCCONCELLI;104
VENTURI;104
BIZZARRI;103
CONTI;103
FRANCESCHINI;103
ZINI;103
BAGNI;102
GUERRA;102
MORELLI;102
LANZI;101
ZANNONI;101
BARONI;100
CHIOSSI;100
MIARI;99
VERONESI;99
YE;99
BARCHI;98
MARTINELLI;98
AIELLO;97
IEMMI;97
MUNARI;97
BALDI;96
LANDINI;96
PAGLIANI;96
CAPRARI;95
FRANCIA;95
LUSUARDI;95
MENDICINO;95
SORRENTINO;95
STORCHI;95
STROZZI;95
BOCEDI;94
COCCONI;94
GUERRIERI;94
SEVERI;94
CAITI;93
DONELLI;93
GALLINGANI;93
MORLINI;93
BECCHI;92
CAMPIOLI;92
ALGERI;91
BERTOZZI;91
CORRADI;91
NASI;91
VILLANI;91
BONAZZI;90
BONILAURI;90
LEROSE;90
MARINO;90
SALA;90
BORCIANI;89
CASELLI;89
GALLO;89
LI;89
MENSAH;89
CUCCHI;88
SALAMI;88
SANTINI;88
SPAGNOLO;88
BARILLI;87
MAZZALI;87
SIMONINI;87
ALBERTINI;86
BADODI;86
BOIARDI;86
BRUGNANO;86
CAROLI;86
QIU;86
CASONI;85
NIZZOLI;85
PAGLIA;85
PINOTTI;85
ZHU;84
MARAMOTTI;83
POZZI;83
SILINGARDI;83
LOSI;82
GHIDONI;81
GROSSI;81
LOLLI;81
MANICARDI;81
ROCCHI;81
VEZZOSI;81
VIGNALI;81
AMATO;80
CHIARI;80
NIRONI;80
RIGHI;80
VALENTI;80
FILIPPINI;79
GIBERTI;79
MACRI';79
BERTOLDI;78
DAVOLIO;78
FERRARA;78
MASONI;78
MELLONI;78
OLEARI;78
ROVACCHI;78
SALARDI;78
BRANCHETTI;77
CARPI;77
GRISETTI;77
GUALERZI;77
BAROZZI;76
BIANCHINI;76
CATTINI;76
GUGLIELMI;76
LOMBARDI;76
SCOLARI;76
TORRICELLI;76
FONTANILI;75
LEONARDI;75
MONTI;75
ROZZI;75
VALERIANI;75
CHIESI;74
COSTA;74
LAZZARETTI;74
BUFFAGNI;73
CASOTTI;73
D'ANGELO;73
DEL RIO;73
GALLI;73
GANASSI;73
PISI;73
BEGGI;72
TADDEI;72
VALCAVI;72
ARTIOLI;71
FRANCHI;71
MARZI;71
MASSARI;71
PAVARINI;71
RIVA;71
BEDESCHI;70
BERNARDI;70
CIRILLO;70
PATTACINI;70
SPADONI;70
TOSCHI;70
DALL'AGLIO;69
GAMBARELLI;69
MAGNANINI;69
OWUSU;69
SOLIANI;69
VARINI;69
GANAPINI;68
NERI;68
PEZZI;68
ZAMBELLI;68
BALLABENI;67
BEDINI;67
BONVICINI;67
CARUSO;67
FRANCESCHI;67
GIOVANNINI;67
MAFFEI;67
MAZZONI;67
MISELLI;67
SERRI;67
CACCIA;66
GIGLIOLI;66
MARCHI;66
VIOLI;66
ZAMBONI;66
ZHENG;66
BELLI;65
BERTOLANI;65
BULGARELLI;65
CORBELLI;65
DE ROSA;65
FORMENTINI;65
LOMBARDO;65
MAMMI;65
CALZOLARI;64
DIOP;64
FIACCADORI;64
GARUTI;64
GIBERTINI;64
MALAGOLI;64
MAZZA;64
MOTTA;64
IMMOVILLI;63
SCOGNAMIGLIO;63
ANDREOLI;62
CARAFFI;62
FERRARO;62
MANTOVANI;62
MELEGARI;62
OPPIDO;62
PASINI;62
PASQUALI;62
PELLEGRINI;62
TASSONI;62
TIROTTA;62
ARMANI;61
BONEZZI;61
DELMONTE;61
MONTRUCCOLI;61
PERGREFFI;61
ROSSELLI;61
BURSI;60
FAVA;60
FILIPPI;60
HUANG;60
PINETTI;60
SALERNO;60
TINCANI;60
ZHAO;60
ARTONI;59
BORELLI;59
FOLLONI;59
GENTILE;59
GUIDOTTI;59
IEMBO;59
LODESANI;59
PINI;59
SALVARANI;59
VASAPOLLO;59
BERTONI;58
FODERARO;58
GUALDI;58
JIN;58
KOCI;58
NEGRI;58
PETERLINI;58
RIZZI;58
ROTA;58
SALATI;58
VITALE;58
BARANI;57
BIZZOCCHI;57
CAGOSSI;57
CANEPARI;57
CONTE;57
COTTAFAVI;57
DAZZI;57
GHERARDI;57
GIROLDINI;57
RICCI;57
ALI;56
BERTOCCHI;56
BERTOLOTTI;56
CINGI;56
FARIOLI;56
FIORE;56
GHIZZONI;56
GRAZIOLI;56
MEGLIOLI;56
MORA;56
PALLADINI;56
PRODI;56
SCALABRINI;56
SPINA;56
APPIAH;55
AZZALI;55
BATTAGLIA;55
BIANCO;55
BRAGAZZI;55
CASTAGNOLI;55
DEBBI;55
FORONI;55
FRONTERA;55
GADDI;55
GAZZOTTI;55
GOBBI;55
LOMBARDINI;55
MAZZI;55
PECORARI;55
SANTORO;55
ZANETTI;55
BAGNOLI;54
CASTELLARI;54
CAVALLI;54
DOMENICHINI;54
FALBO;54
GALLONI;54
GAMBINI;54
GIORGINI;54
GUIDA;54
JIANG;54
LUPPI;54
MARTINI;54
PEDERZOLI;54
BASILE;53
CAMPANINI;53
CAMURRI;53
ESPOSTI;53
GAETANO;53
MESORACA;53
MORI;53
SHALA;53
VERZELLONI;53
YANG;53
YU;53
CORSI;52
JAHAJ;52
MANINI;52
MANTOVI;52
MORETTI;52
OLIVERIO;52
PADERNI;52
PARMEGGIANI;52
VERONI;52
CARBONI;51
CATTABIANI;51
COMASTRI;51
GALLINARI;51
GARGIULO;51
LANZA;51
LONGAGNANI;51
MARANI;51
MORELLINI;51
PORTA;51
ROSATI;51
SEZZI;51
CAFFARRI;50
DALLAGLIO;50
GUALANDRI;50
PERGETTI;50
SCHIATTI;50
UGOLOTTI;50
BARIGAZZI;49
DE MARCO;49
DILETTO;49
LUSENTI;49
MAESTRI;49
MAIOLI;49
MANCUSO;49
MARCHETTI;49
NERONI;49
OLIVO;49
PAGANO;49
PALOMBA;49
PALUMBO;49
SANTI;49
UGOLETTI;49
BIAGINI;48
BOATENG;48
CERLINI;48
GIULIANI;48
GRAZIANO;48
LANZONI;48
MAININI;48
MANZOTTI;48
MUNARINI;48
OVI;48
RUGGIERI;48
BANCE;47
BELLELLI;47
BOLONDI;47
BUSSEI;47
CHIESSI;47
CORGHI;47
FALL;47
GARLASSI;47
GIUDICI;47
MAZZIERI;47
PECCHINI;47
SETTI;47
ACERBI;46
ALEOTTI;46
ARACRI;46
ASCARI;46
BONACCIO;46
CALABRESE;46
CRISTOFORI;46
DATTILO;46
GRANDE;46
SANTACHIARA;46
SARTORI;46
SILVESTRI;46
SORAGNI;46
VITIELLO;46
XIA;46
BERNI;45
BEVILACQUA;45
BOTTI;45
CLEMENTE;45
DANGELO;45
DE LUCIA;45
GIANNINI;45
HOXHA;45
MEGNA;45
MORANI;45
MORINA;45
NICOLINI;45
OSEI;45
PUCCI;45
TAHIRI;45
VIAPPIANI;45
