COGNOME,DIFFUSIONE (FREQUENZA)
FERRARI ,1391
ROSSI ,759
MONTANARI ,756
FERRETTI ,733
DAVOLI ,729
CATELLANI ,639
BONACINI ,607
IOTTI ,567
MENOZZI ,545
CORRADINI ,525
IORI ,523
FONTANESI ,505
BARBIERI ,472
BERTANI ,428
MAGNANI ,424
SASSI ,401
SPAGGIARI ,398
BIGI ,391
BERTOLINI ,382
GUIDETTI ,353
BORGHI ,352
SALSI ,346
FORNACIARI ,332
BRAGLIA ,332
ESPOSITO ,326
HU ,323
ORLANDINI ,303
PRANDI ,293
SINGH ,286
VEZZANI ,284
BARTOLI ,280
BONI ,280
VECCHI ,274
GRASSI ,271
CHEN ,271
RUSSO ,263
FANTINI ,261
LASAGNI ,258
SONCINI ,254
CODELUPPI ,253
FERRI ,250
RINALDI ,250
SIMONAZZI ,249
LUSETTI ,249
PANCIROLI ,246
BENASSI ,244
BONINI ,244
PICCININI ,243
BEDOGNI ,240
CAMPANI ,239
BURANI ,236
FONTANA ,233
FANTUZZI ,232
BELTRAMI ,228
CASTAGNETTI ,227
INCERTI ,225
BONDAVALLI ,220
MORINI ,212
ZANNI ,212
REVERBERI ,201
POLI ,195
MUSSINI ,194
TORELLI ,193
MESSORI ,191
BOTTAZZI ,189
ZHOU ,187
COSTI ,185
MATTIOLI ,183
VACONDIO ,183
CIGARINI ,181
GRASSELLI ,180
PATERLINI ,180
KAUR ,179
CASALI ,179
CASOLI ,178
CATTANI ,177
TONDELLI ,176
BASSI ,175
LIN ,174
MANZINI ,171
ZANICHELLI ,169
TEDESCHI ,169
BIANCHI ,169
GOZZI ,169
MUTO ,168
LIGABUE ,167
RONZONI ,167
WU ,165
GUALTIERI ,165
TIRELLI ,161
MEDICI ,160
WANG ,160
RIVI ,158
MANFREDI ,157
RINALDINI ,156
PRATI ,153
COLLI ,152
COCCHI ,151
DENTI ,150
LEONI ,150
ZHANG ,149
TAGLIAVINI ,149
BAGNACANI ,149
RIZZO ,148
CANOVI ,148
REGGIANI ,148
BIGLIARDI ,148
CROTTI ,147
NOTARI ,145
MASINI ,143
VACCARI ,141
MONTECCHI ,140
FERRARINI ,138
GIANFERRARI ,137
TORREGGIANI ,136
DALLARI ,134
GILIOLI ,134
PEDRONI ,134
RUOZZI ,133
MANGHI ,133
PREDIERI ,131
CABASSI ,131
ROMANO ,131
GOVI ,131
CARRETTI ,130
COPPOLA ,130
CHIERICI ,130
GIAROLI ,130
RUOZI ,129
DE LUCA ,129
ANCESCHI ,128
RABITTI ,128
BENEVENTI ,127
GATTI ,124
SACCANI ,124
TERENZIANI ,123
MARIANI ,123
CAMELLINI ,123
MOTTI ,122
CILLONI ,122
VALENTINI ,122
GIOVANARDI ,119
COZZOLINO ,118
CASINI ,118
RUGGIERO ,118
MARMIROLI ,118
GIORDANO ,117
MARTINO ,116
RICCO' ,116
GRISENDI ,116
GRECO ,116
SPAGNI ,115
MARCONI ,115
CERVI ,115
DE PIETRI ,113
AGUZZOLI ,113
SPALLANZANI ,113
XU ,113
TORRE ,112
GANDOLFI ,112
GALEOTTI ,112
VENTURI ,111
MARGINI ,111
LUGLI ,111
BOLOGNESI ,110
CANTARELLI ,109
TOSI ,109
VALLI ,108
FIORINI ,108
MELIOLI ,108
ARDUINI ,108
CURTI ,107
BRUNO ,107
MELLI ,107
VILLA ,106
TRUZZI ,105
BENEVELLI ,105
MANFREDINI ,105
PRAMPOLINI ,104
COCCONCELLI ,104
OLIVI ,104
FABBI ,104
LIU ,104
BIZZARRI ,103
ROMANI ,103
CROCI ,103
CAVAZZONI ,102
VIANI ,101
BASSOLI ,101
BARCHI ,100
GUERRA ,100
