"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2021/03";"6";"01/03/2021";"1";"SS 12 tra Fiumalbo e Abetone";"876";"0";"849";"27";"761";"115";"876";"0"
"2021/03";"6";"02/03/2021";"2";"SS 12 tra Fiumalbo e Abetone";"915";"0";"882";"33";"800";"115";"915";"0"
"2021/03";"6";"03/03/2021";"3";"SS 12 tra Fiumalbo e Abetone";"850";"0";"823";"27";"734";"116";"850";"0"
"2021/03";"7";"01/03/2021";"1";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.656";"0";"4.440";"216";"4.033";"623";"4.656";"0"
"2021/03";"7";"02/03/2021";"2";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"4.696";"0";"4.491";"205";"4.056";"640";"4.696";"0"
"2021/03";"7";"03/03/2021";"3";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"5.114";"1";"4.909";"204";"4.423";"691";"5.114";"0"
"2021/03";"12";"01/03/2021";"1";"SS 16 al Confine regionale (Marche)";"9.983";"0";"9.296";"687";"8.394";"1.589";"9.983";"0"
"2021/03";"12";"02/03/2021";"2";"SS 16 al Confine regionale (Marche)";"9.281";"0";"8.644";"637";"7.847";"1.434";"9.281";"0"
"2021/03";"12";"03/03/2021";"3";"SS 16 al Confine regionale (Marche)";"9.481";"0";"8.848";"633";"8.003";"1.478";"9.481";"0"
"2021/03";"16";"01/03/2021";"1";"SP 69 in località Pilastri al Confine regionale";"1.386";"0";"1.252";"134";"1.179";"207";"1.386";"0"
"2021/03";"16";"02/03/2021";"2";"SP 69 in località Pilastri al Confine regionale";"1.428";"0";"1.279";"149";"1.224";"204";"1.428";"0"
"2021/03";"16";"03/03/2021";"3";"SP 69 in località Pilastri al Confine regionale";"1.399";"0";"1.257";"142";"1.189";"210";"1.399";"0"
"2021/03";"19";"01/03/2021";"1";"SP 343R tra Colorno e Casalmaggiore";"8.945";"5";"6.317";"2.623";"7.130";"1.815";"8.945";"0"
"2021/03";"19";"02/03/2021";"2";"SP 343R tra Colorno e Casalmaggiore";"8.956";"16";"6.426";"2.514";"7.176";"1.780";"8.956";"0"
"2021/03";"19";"03/03/2021";"3";"SP 343R tra Colorno e Casalmaggiore";"8.455";"37";"6.087";"2.331";"6.649";"1.806";"8.455";"0"
