"data","CASTELLUCCIO","v_CASTELLUCCIO","DE AMICIS","v_DE AMICIS","GIARDINI MARGHERITA","v_GIARDINI MARGHERITA","PORTA SAN FELICE","v_PORTA SAN FELICE","SAN LAZZARO","v_SAN LAZZARO","SAN PIETRO CAPOFIUME","v_SAN PIETRO CAPOFIUME","VIA CHIARINI","v_VIA CHIARINI"
"2019-07-06 00:00","24","S","16","S","","","20","S","20","S","23","S","20","S"
"2019-07-07 00:00","22","S","26","S","","","22","S","23","S","28","S","25","S"
"2019-07-08 00:00","18","S","31","S","","","","","30","S","19","S","32","S"
"2019-07-09 00:00","16","S","23","S","","","","","31","S","14","S","31","S"
"2019-07-10 00:00","12","S","20","S","","","","","20","S","13","S","21","S"
"2019-07-11 00:00","11","S","12","S","","","18","S","14","S","17","S","16","S"
"2019-07-12 00:00","13","S","18","S","","","19","S","19","S","14","S","23","S"
"2019-07-13 00:00","9","S","14","S","","","15","S","14","S","12","S","16","S"
"2019-07-14 00:00","4","S","7","S","","","9","S","6","S","9","S","9","S"
"2019-07-15 00:00","4","S","12","S","","","16","S","12","S","8","S","10","S"
"2019-07-16 00:00","12","S","14","S","","","17","S","14","S","17","S","15","S"
"2019-07-17 00:00","9","S","12","S","","","13","S","13","S","15","S","12","S"
"2019-07-18 00:00","11","S","23","S","","","25","S","28","S","24","S","32","S"
"2019-07-19 00:00","11","S","20","S","","","19","S","20","S","22","S","24","S"
"2019-07-20 00:00","11","S","16","S","","","21","S","19","S","21","S","21","S"
"2019-07-21 00:00","13","S","18","S","","","18","S","19","S","21","S","17","S"
"2019-07-22 00:00","19","S","25","S","","","28","S","27","S","29","S","29","S"
"2019-07-23 00:00","","","22","S","","","24","S","26","S","25","S","26","S"
"2019-07-24 00:00","","","17","S","","","19","S","19","S","24","S","19","S"
"2019-07-25 00:00","17","S","18","S","","","30","S","22","S","20","S","24","S"
"2019-07-26 00:00","11","S","27","S","","","20","S","22","S","","","22","S"
"2019-07-27 00:00","16","S","21","S","","","21","S","18","S","","","20","S"
"2019-07-28 00:00","1","S","9","S","","","9","S","9","S","","","11","S"
"2019-07-29 00:00","9","S","12","S","","","15","S","12","S","","","14","S"
"2019-07-30 00:00","9","S","15","S","","","17","S","19","S","26","S","20","S"
"2019-07-31 00:00","13","S","18","S","","","20","S","17","S","17","S","23","S"
"2019-08-01 00:00","11","S","23","S","","","22","S","22","S","23","S","20","S"
"2019-08-02 00:00","11","S","21","S","","","22","S","20","S","20","S","21","S"
"2019-08-03 00:00","5","S","10","S","","","12","S","13","S","15","S","11","S"
"2019-08-04 00:00","10","S","12","S","","","12","S","9","S","12","S","11","S"
"2019-08-05 00:00","13","S","17","S","","","17","S","18","S","13","S","18","S"
"2019-08-06 00:00","23","S","20","S","","","19","S","22","S","20","S","22","S"
"2019-08-07 00:00","18","S","22","S","","","21","S","20","S","17","S","25","S"
"2019-08-08 00:00","25","S","19","S","","","19","S","23","S","20","S","22","S"
"2019-08-09 00:00","19","S","25","S","","","24","S","28","S","24","S","31","S"
"2019-08-10 00:00","12","S","18","S","","","20","S","22","S","28","S","24","S"
"2019-08-11 00:00","11","S","16","S","","","18","S","21","S","26","S","22","S"
"2019-08-12 00:00","15","S","25","S","","","22","S","23","S","22","S","23","S"
"2019-08-13 00:00","15","S","20","S","","","21","S","26","S","19","S","26","S"
"2019-08-14 00:00","9","S","15","S","","","17","S","18","S","10","S","17","S"
"2019-08-15 00:00","9","S","13","S","","","11","S","13","S","12","S","9","S"
"2019-08-16 00:00","7","S","12","S","","","14","S","12","S","12","S","12","S"
"2019-08-17 00:00","10","S","11","S","","","14","S","13","S","14","S","10","S"
"2019-08-18 00:00","10","S","14","S","","","13","S","12","S","16","S","13","S"
"2019-08-19 00:00","9","S","16","S","","","17","S","15","S","16","S","14","S"
"2019-08-20 00:00","11","S","16","S","","","20","S","20","S","18","S","18","S"
"2019-08-21 00:00","17","S","22","S","","","24","S","26","S","22","S","27","S"
"2019-08-22 00:00","20","S","21","S","","","23","S","21","S","14","S","27","S"
"2019-08-23 00:00","15","S","19","S","","","21","S","25","S","19","S","24","S"
"2019-08-24 00:00","15","S","20","S","","","23","S","20","S","19","S","27","S"
"2019-08-25 00:00","18","S","19","S","","","18","S","19","S","16","S","24","S"
"2019-08-26 00:00","19","S","22","S","","","23","S","27","S","22","S","30","S"
"2019-08-27 00:00","22","S","27","S","","","28","S","28","S","27","S","32","S"
"2019-08-28 00:00","21","S","25","S","","","30","S","32","S","29","S","34","S"
"2019-08-29 00:00","23","S","22","S","","","","","27","S","23","S","29","S"
"2019-08-30 00:00","24","S","26","S","","","","","31","S","29","S","35","S"
"2019-08-31 00:00","24","S","30","S","","","28","S","30","S","27","S","34","S"
"2019-09-01 00:00","24","S","21","S","","","19","S","19","S","23","S","24","S"
"2019-09-02 00:00","23","S","23","S","","","26","S","30","S","26","S","31","S"
"2019-09-03 00:00","15","S","20","S","","","17","S","16","S","15","S","16","S"
"2019-09-04 00:00","10","S","15","S","","","14","S","16","S","17","S","16","S"
"2019-09-05 00:00","8","S","18","S","","","20","S","19","S","23","S","20","S"
"2019-09-06 00:00","9","S","16","S","","","18","S","16","S","12","S","16","S"
"2019-09-07 00:00","4","S","8","S","","","14","S","10","S","10","S","11","S"
"2019-09-08 00:00","8","S","11","S","","","13","S","13","S","13","S","10","S"
"2019-09-09 00:00","5","S","9","S","","","7","S","7","S","6","S","7","S"
"2019-09-10 00:00","11","S","13","S","","","15","S","16","S","12","S","14","S"
"2019-09-11 00:00","14","S","18","S","","","21","S","24","S","19","S","21","S"
"2019-09-12 00:00","23","S","22","S","","","23","S","22","S","25","S","20","S"
"2019-09-13 00:00","16","S","20","S","","","21","S","21","S","19","S","18","S"
"2019-09-14 00:00","15","S","14","S","","","16","S","17","S","18","S","16","S"
"2019-09-15 00:00","8","S","10","S","","","10","S","13","S","14","S","11","S"
"2019-09-16 00:00","8","S","16","S","","","13","S","17","S","15","S","13","S"
"2019-09-17 00:00","15","S","17","S","","","17","S","18","S","21","S","16","S"
"2019-09-18 00:00","21","S","24","S","","","22","S","22","S","20","S","28","S"
"2019-09-19 00:00","5","S","20","S","","","18","S","17","S","13","S","17","S"
"2019-09-20 00:00","12","S","22","S","","","20","S","23","S","15","S","21","S"
"2019-09-21 00:00","11","S","16","S","","","17","S","18","S","16","S","18","S"
"2019-09-22 00:00","8","S","17","S","","","21","S","17","S","17","S","22","S"
"2019-09-23 00:00","2","S","28","S","","","31","S","32","S","28","S","33","S"
"2019-09-24 00:00","3","S","13","S","","","15","S","9","S","13","S","14","S"
"2019-09-25 00:00","6","S","12","S","","","21","S","20","S","21","S","20","S"
"2019-09-26 00:00","15","S","25","S","","","27","S","25","S","11","S","21","S"
"2019-09-27 00:00","10","S","14","S","","","20","S","21","S","19","S","21","S"
"2019-09-28 00:00","11","S","12","S","","","14","S","16","S","21","S","14","S"
"2019-09-29 00:00","8","S","10","S","","","8","S","9","S","12","S","10","S"
"2019-09-30 00:00","6","S","10","S","","","14","S","15","S","11","S","13","S"
"2019-10-01 00:00","7","S","21","S","","","15","S","15","S","16","S","15","S"
"2019-10-02 00:00","4","S","12","S","","","11","S","12","S","11","S","10","S"
"2019-10-03 00:00","5","S","11","S","","","11","S","15","S","7","S","9","S"
"2019-10-04 00:00","5","S","8","S","","","8","S","10","S","9","S","8","S"
"2019-10-05 00:00","9","S","21","S","","","20","S","21","S","29","S","20","S"
"2019-10-06 00:00","10","S","17","S","","","17","S","18","S","22","S","16","S"
"2019-10-07 00:00","5","S","14","S","","","15","S","10","S","14","S","13","S"
"2019-10-08 00:00","8","S","20","S","","","18","S","23","S","15","S","19","S"
"2019-10-09 00:00","6","S","13","S","","","21","S","19","S","17","S","23","S"
"2019-10-10 00:00","17","S","37","S","","","46","S","45","S","38","S","47","S"
"2019-10-11 00:00","20","S","38","S","","","41","S","45","S","33","S","40","S"
"2019-10-12 00:00","20","S","47","S","","","55","S","57","S","56","S","55","S"
"2019-10-13 00:00","17","S","54","S","","","52","S","51","S","51","S","51","S"
"2019-10-14 00:00","18","S","48","S","","","55","S","63","S","61","S","58","S"
"2019-10-15 00:00","14","S","33","S","","","32","S","34","S","26","S","36","S"
"2019-10-16 00:00","8","S","15","S","","","12","S","17","S","8","S","11","S"
"2019-10-17 00:00","8","S","12","S","","","12","S","15","S","12","S","13","S"
"2019-10-18 00:00","7","S","17","S","","","16","S","20","S","22","S","18","S"
"2019-10-19 00:00","9","S","12","S","","","16","S","12","S","15","S","13","S"
"2019-10-20 00:00","12","S","15","S","","","16","S","12","S","11","S","16","S"
"2019-10-21 00:00","15","S","33","S","","","27","S","30","S","20","S","",""
"2019-10-22 00:00","18","S","37","S","","","35","S","36","S","28","S","37","S"
"2019-10-23 00:00","16","S","43","S","","","40","S","39","S","37","S","33","S"
"2019-10-24 00:00","10","S","41","S","","","42","S","50","S","37","S","39","S"
"2019-10-25 00:00","13","S","39","S","","","39","S","42","S","34","S","36","S"
"2019-10-26 00:00","16","S","27","S","","","32","S","36","S","40","S","28","S"
"2019-10-27 00:00","13","S","25","S","","","25","S","23","S","27","S","21","S"
"2019-10-28 00:00","14","S","42","S","","","42","S","41","S","33","S","39","S"
"2019-10-29 00:00","9","S","69","S","","","53","S","59","S","45","S","45","S"
"2019-10-30 00:00","4","S","22","S","","","22","S","23","S","14","S","20","S"
"2019-10-31 00:00","1","S","11","S","","","13","S","11","S","12","S","12","S"
"2019-11-01 00:00","2","S","20","S","","","17","S","16","S","13","S","13","S"
"2019-11-02 00:00","0","S","27","S","","","29","S","30","S","19","S","16","S"
"2019-11-03 00:00","0","S","10","S","","","","","8","S","6","S","",""
"2019-11-04 00:00","","","6","S","","","","","4","S","5","S","0","S"
"2019-11-05 00:00","","","7","S","","","18","S","10","S","5","S","9","S"
"2019-11-06 00:00","","","9","S","","","9","S","14","S","8","S","12","S"
"2019-11-07 00:00","","","14","S","","","23","S","17","S","21","S","19","S"
"2019-11-08 00:00","","","12","S","","","12","S","17","S","8","S","12","S"
"2019-11-09 00:00","9","S","13","S","","","13","S","14","S","10","S","11","S"
"2019-11-10 00:00","13","S","23","S","","","27","S","25","S","21","S","23","S"
"2019-11-11 00:00","8","S","25","S","","","31","S","29","S","18","S","26","S"
"2019-11-12 00:00","2","S","8","S","","","7","S","6","S","9","S","1","S"
"2019-11-13 00:00","0","S","8","S","","","12","S","13","S","9","S","8","S"
"2019-11-14 00:00","3","S","20","S","","","22","S","22","S","13","S","",""
"2019-11-15 00:00","1","S","11","S","","","11","S","16","S","7","S","9","S"
"2019-11-16 00:00","0","S","18","S","","","15","S","12","S","17","S","18","S"
"2019-11-17 00:00","3","S","6","S","","","9","S","10","S","7","S","7","S"
"2019-11-18 00:00","5","S","18","S","","","22","S","24","S","14","S","22","S"
"2019-11-19 00:00","7","S","27","S","","","22","S","16","S","7","S","17","S"
"2019-11-20 00:00","12","S","24","S","","","27","S","25","S","23","S","22","S"
"2019-11-21 00:00","7","S","34","S","","","","","31","S","29","S","26","S"
"2019-11-22 00:00","6","S","22","S","","","24","S","22","S","25","S","15","S"
"2019-11-23 00:00","6","S","20","S","","","21","S","24","S","14","S","12","S"
"2019-11-24 00:00","0","S","17","S","","","19","S","15","S","13","S","13","S"
"2019-11-25 00:00","1","S","16","S","","","17","S","21","S","14","S","10","S"
"2019-11-26 00:00","4","S","22","S","","","24","S","23","S","22","S","18","S"
"2019-11-27 00:00","3","S","23","S","","","21","S","21","S","19","S","15","S"
"2019-11-28 00:00","4","S","25","S","","","30","S","30","S","23","S","23","S"
"2019-11-29 00:00","6","S","38","S","","","41","S","42","S","29","S","33","S"
"2019-11-30 00:00","7","S","30","S","","","34","S","32","S","36","S","31","S"
"2019-12-01 00:00","7","S","43","S","","","37","S","30","S","52","S","35","S"
"2019-12-02 00:00","","","14","S","","","16","S","","","18","S","18","S"
"2019-12-03 00:00","","","20","S","","","19","S","","","12","S","22","S"
"2019-12-04 00:00","11","S","25","S","","","26","S","28","S","23","S","25","S"
"2019-12-05 00:00","15","S","37","S","","","40","S","43","S","41","S","38","S"
"2019-12-06 00:00","15","S","46","S","","","50","S","53","S","51","S","38","S"
"2019-12-07 00:00","8","S","51","S","","","63","S","57","S","51","S","40","S"
"2019-12-08 00:00","7","S","54","S","","","54","S","44","S","52","S","30","S"
"2019-12-09 00:00","1","S","65","S","","","84","S","64","S","57","S","54","S"
"2019-12-10 00:00","9","S","39","S","","","42","S","41","S","47","S","35","S"
"2019-12-11 00:00","3","S","16","S","","","19","S","23","S","19","S","",""
"2019-12-12 00:00","2","S","18","S","","","20","S","18","S","20","S","",""
"2019-12-13 00:00","0","S","11","S","","","16","S","12","S","16","S","17","S"
"2019-12-14 00:00","2","S","25","S","","","29","S","17","S","22","S","25","S"
"2019-12-15 00:00","5","S","45","S","","","45","S","47","S","43","S","44","S"
"2019-12-16 00:00","9","S","56","S","","","67","S","56","S","62","S","56","S"
"2019-12-17 00:00","9","S","76","S","","","82","S","73","S","60","S","71","S"
"2019-12-18 00:00","5","S","52","S","","","53","S","47","S","41","S","42","S"
"2019-12-19 00:00","2","S","46","S","","","51","S","54","S","27","S","38","S"
"2019-12-20 00:00","1","S","20","S","","","15","S","14","S","13","S","",""
"2019-12-21 00:00","0","S","1","S","","","2","S","4","S","0","S","",""
"2019-12-22 00:00","0","S","2","S","","","2","S","1","S","0","S","",""
"2019-12-23 00:00","1","S","6","S","","","13","S","5","S","4","S","8","S"
"2019-12-24 00:00","5","S","17","S","","","14","S","15","S","12","S","22","S"
"2019-12-25 00:00","8","S","23","S","","","25","S","28","S","29","S","36","S"
"2019-12-26 00:00","8","S","29","S","","","26","S","35","S","38","S","30","S"
"2019-12-27 00:00","7","S","38","S","","","36","S","40","S","45","S","34","S"
"2019-12-28 00:00","11","S","35","S","","","43","S","46","S","44","S","44","S"
"2019-12-29 00:00","7","S","37","S","","","46","S","39","S","48","S","42","S"
"2019-12-30 00:00","6","S","38","S","","","42","S","39","S","46","S","37","S"
"2019-12-31 00:00","3","S","42","S","","","40","S","44","S","47","S","38","S"
"2020-01-01 00:00","4","S","39","S","","","36","S","39","S","69","S","27","S"
"2020-01-02 00:00","4","S","49","S","","","57","S","56","S","60","S","44","S"
"2020-01-03 00:00","8","S","44","S","","","33","S","34","S","46","S","16","S"
"2020-01-04 00:00","4","S","27","S","","","26","S","24","S","46","S","15","S"
"2020-01-05 00:00","3","S","28","S","","","29","S","28","S","41","S","18","S"
"2020-01-06 00:00","5","S","18","S","","","36","S","30","S","26","S","29","S"
"2020-01-07 00:00","11","S","53","S","","","54","S","54","S","39","S","46","S"
"2020-01-08 00:00","7","S","52","S","","","53","S","","","31","S","40","S"
"2020-01-09 00:00","4","S","45","S","","","52","S","49","S","33","S","31","S"
"2020-01-10 00:00","7","S","38","S","","","65","S","44","S","51","S","35","S"
"2020-01-11 00:00","11","S","59","S","","","65","S","62","S","59","S","41","S"
"2020-01-12 00:00","6","S","41","S","","","47","S","39","S","45","S","25","S"
"2020-01-13 00:00","5","S","51","S","","","56","S","54","S","43","S","39","S"
"2020-01-14 00:00","3","S","71","S","","","80","S","77","S","61","S","63","S"
"2020-01-15 00:00","3","S","98","S","","","118","S","104","S","95","S","81","S"
"2020-01-16 00:00","9","S","92","S","","","111","S","105","S","99","S","71","S"
"2020-01-17 00:00","4","S","35","S","","","48","S","46","S","54","S","24","S"
"2020-01-18 00:00","1","S","23","S","","","29","S","24","S","40","S","21","S"
"2020-01-19 00:00","3","S","24","S","","","31","S","25","S","25","S","29","S"
"2020-01-20 00:00","12","S","28","S","","","36","S","34","S","","","31","S"
"2020-01-21 00:00","11","S","35","S","","","38","S","42","S","","","",""
"2020-01-22 00:00","8","S","31","S","","","34","S","41","S","","","",""
"2020-01-23 00:00","6","S","53","S","","","52","S","60","S","57","S","",""
"2020-01-24 00:00","13","S","71","S","","","78","S","80","S","80","S","",""
"2020-01-25 00:00","13","S","80","S","","","92","S","90","S","82","S","",""
"2020-01-26 00:00","2","S","55","S","","","59","S","49","S","77","S","",""
"2020-01-27 00:00","2","S","24","S","","","36","S","32","S","37","S","",""
"2020-01-28 00:00","2","S","16","S","","","63","S","48","S","58","S","55","S"
"2020-01-29 00:00","6","S","24","S","","","20","S","23","S","32","S","19","S"
"2020-01-30 00:00","3","S","34","S","","","35","S","36","S","30","S","27","S"
"2020-01-31 00:00","4","S","62","S","","","42","S","48","S","54","S","37","S"
"2020-02-01 00:00","2","S","89","S","","","70","S","68","S","81","S","60","S"
"2020-02-02 00:00","0","S","70","S","","","44","S","41","S","39","S","37","S"
"2020-02-03 00:00","11","S","28","S","","","29","S","23","S","17","S","21","S"
"2020-02-04 00:00","15","S","11","S","","","14","S","15","S","14","S","9","S"
"2020-02-05 00:00","6","S","16","S","","","14","S","18","S","9","S","15","S"
"2020-02-06 00:00","7","S","22","S","","","","","31","S","18","S","18","S"
"2020-02-07 00:00","12","S","31","S","","","","","46","S","33","S","28","S"
"2020-02-08 00:00","24","S","53","S","","","53","S","60","S","68","S","46","S"
"2020-02-09 00:00","9","S","54","S","","","52","S","49","S","63","S","42","S"
"2020-02-10 00:00","2","S","22","S","","","77","S","68","S","57","S","64","S"
"2020-02-11 00:00","6","S","19","S","","","","","23","S","16","S","23","S"
"2020-02-12 00:00","3","S","","","","","","","12","S","15","S","13","S"
"2020-02-13 00:00","1","S","22","S","","","31","S","37","S","29","S","30","S"
"2020-02-14 00:00","5","S","38","S","","","48","S","48","S","40","S","42","S"
"2020-02-15 00:00","8","S","33","S","","","37","S","43","S","44","S","34","S"
"2020-02-16 00:00","19","S","50","S","","","65","S","64","S","49","S","55","S"
"2020-02-17 00:00","8","S","37","S","","","50","S","40","S","50","S","46","S"
"2020-02-18 00:00","1","S","47","S","","","67","S","63","S","53","S","62","S"
"2020-02-19 00:00","9","S","39","S","","","","","43","S","44","S","43","S"
"2020-02-20 00:00","9","S","30","S","","","","","41","S","25","S","29","S"
"2020-02-21 00:00","15","S","37","S","","","35","S","38","S","37","S","35","S"
"2020-02-22 00:00","30","S","54","S","","","66","S","58","S","45","S","53","S"
"2020-02-23 00:00","18","S","44","S","","","49","S","46","S","58","S","47","S"
"2020-02-24 00:00","8","S","55","S","","","53","S","49","S","65","S","49","S"
"2020-02-25 00:00","4","S","29","S","","","47","S","35","S","39","S","37","S"
"2020-02-26 00:00","1","S","7","S","","","18","S","17","S","15","S","14","S"
"2020-02-27 00:00","1","S","2","S","","","4","S","3","S","2","S","3","S"
"2020-02-28 00:00","5","S","13","S","","","14","S","19","S","14","S","11","S"
"2020-02-29 00:00","10","S","25","S","","","21","S","17","S","34","S","21","S"
"2020-03-01 00:00","7","S","32","S","","","36","S","33","S","24","S","28","S"
"2020-03-02 00:00","0","S","17","S","","","17","S","13","S","13","S","10","S"
"2020-03-03 00:00","0","S","11","S","","","9","S","4","S","7","S","7","S"
"2020-03-04 00:00","7","S","12","S","","","17","S","16","S","9","S","9","S"
"2020-03-05 00:00","6","S","13","S","","","21","S","14","S","10","S","11","S"
"2020-03-06 00:00","7","S","20","S","","","23","S","22","S","16","S","17","S"
"2020-03-07 00:00","14","S","28","S","","","34","S","30","S","22","S","24","S"
"2020-03-08 00:00","7","S","13","S","","","14","S","16","S","12","S","11","S"
"2020-03-09 00:00","18","S","20","S","","","24","S","24","S","22","S","18","S"
"2020-03-10 00:00","12","S","28","S","","","25","S","29","S","26","S","23","S"
"2020-03-11 00:00","11","S","21","S","","","21","S","25","S","32","S","18","S"
"2020-03-12 00:00","18","S","24","S","","","33","S","32","S","52","S","28","S"
"2020-03-13 00:00","13","S","18","S","","","21","S","21","S","39","S","19","S"
"2020-03-14 00:00","10","S","20","S","","","28","S","29","S","17","S","24","S"
"2020-03-15 00:00","10","S","14","S","","","12","S","14","S","13","S","9","S"
"2020-03-16 00:00","12","S","25","S","","","19","S","25","S","23","S","17","S"
"2020-03-17 00:00","","","26","S","","","26","S","36","S","28","S","26","S"
"2020-03-18 00:00","","","32","S","","","35","S","33","S","36","S","30","S"
"2020-03-19 00:00","","","30","S","","","29","S","26","S","45","S","30","S"
"2020-03-20 00:00","","","33","S","","","34","S","27","S","48","S","34","S"
"2020-03-21 00:00","23","S","29","S","","","26","S","21","S","33","S","23","S"
"2020-03-22 00:00","23","S","23","S","","","20","S","27","S","17","S","18","S"
"2020-03-23 00:00","15","S","19","S","","","15","S","25","S","19","S","16","S"
"2020-03-24 00:00","15","S","20","S","","","18","S","22","S","22","S","16","S"
"2020-03-25 00:00","16","S","28","S","","","22","S","29","S","20","S","20","S"
"2020-03-26 00:00","6","S","20","S","","","15","S","17","S","18","S","12","S"
"2020-03-27 00:00","14","S","34","S","","","39","S","31","S","34","S","30","S"
"2020-03-28 00:00","136","S","112","S","","","98","S","","","102","S","96","S"
"2020-03-29 00:00","49","S","94","S","","","88","S","96","S","97","S","84","S"
"2020-03-30 00:00","20","S","45","S","","","46","S","53","S","52","S","39","S"
"2020-03-31 00:00","7","S","11","S","","","10","S","24","S","10","S","11","S"
"2020-04-01 00:00","12","S","21","S","","","15","S","26","S","15","S","15","S"
"2020-04-02 00:00","15","S","22","S","","","20","S","25","S","24","S","17","S"
"2020-04-03 00:00","19","S","20","S","","","21","S","24","S","25","S","20","S"
"2020-04-04 00:00","22","S","22","S","","","23","S","14","S","31","S","21","S"
"2020-04-05 00:00","20","S","20","S","","","21","S","18","S","22","S","19","S"
"2020-04-06 00:00","26","S","29","S","","","29","S","27","S","34","S","29","S"
"2020-04-07 00:00","23","S","32","S","","","29","S","28","S","32","S","29","S"
"2020-04-08 00:00","17","S","22","S","","","20","S","22","S","30","S","18","S"
"2020-04-09 00:00","14","S","19","S","","","18","S","17","S","22","S","17","S"
"2020-04-10 00:00","16","S","24","S","","","19","S","18","S","24","S","20","S"
"2020-04-11 00:00","13","S","24","S","","","20","S","16","S","28","S","19","S"
"2020-04-12 00:00","9","S","14","S","","","9","S","11","S","22","S","11","S"
"2020-04-13 00:00","17","S","15","S","","","14","S","14","S","12","S","13","S"
"2020-04-14 00:00","12","S","18","S","","","18","S","22","S","17","S","17","S"
"2020-04-15 00:00","9","S","15","S","","","17","S","22","S","16","S","14","S"
"2020-04-16 00:00","12","S","21","S","","","15","S","19","S","19","S","15","S"
"2020-04-17 00:00","16","S","22","S","","","19","S","27","S","27","S","18","S"
"2020-04-18 00:00","16","S","23","S","","","18","S","18","S","24","S","18","S"
"2020-04-19 00:00","19","S","23","S","","","22","S","15","S","27","S","19","S"
"2020-04-20 00:00","2","S","16","S","","","15","S","13","S","12","S","11","S"
"2020-04-21 00:00","5","S","15","S","","","17","S","18","S","19","S","13","S"
"2020-04-22 00:00","17","S","22","S","","","23","S","24","S","19","S","18","S"
"2020-04-23 00:00","22","S","25","S","","","27","S","25","S","23","S","22","S"
"2020-04-24 00:00","14","S","27","S","","","22","S","17","S","23","S","21","S"
"2020-04-25 00:00","11","S","14","S","","","15","S","9","S","13","S","15","S"
"2020-04-26 00:00","7","S","9","S","","","12","S","5","S","13","S","9","S"
"2020-04-27 00:00","8","S","8","S","","","10","S","4","S","13","S","8","S"
"2020-04-28 00:00","3","S","6","S","","","8","S","6","S","7","S","5","S"
"2020-04-29 00:00","7","S","10","S","","","12","S","12","S","9","S","8","S"
"2020-04-30 00:00","5","S","8","S","","","8","S","8","S","9","S","6","S"
"2020-05-01 00:00","5","S","9","S","","","6","S","6","S","8","S","6","S"
"2020-05-02 00:00","4","S","9","S","","","9","S","8","S","15","S","10","S"
"2020-05-03 00:00","7","S","","","","","13","S","14","S","12","S","13","S"
"2020-05-04 00:00","8","S","","","","","13","S","16","S","12","S","10","S"
"2020-05-05 00:00","8","S","","","","","13","S","17","S","17","S","12","S"
"2020-05-06 00:00","11","S","18","S","","","18","S","22","S","18","S","16","S"
"2020-05-07 00:00","8","S","15","S","","","16","S","10","S","","","11","S"
"2020-05-08 00:00","13","S","19","S","","","18","S","17","S","21","S","14","S"
"2020-05-09 00:00","7","S","13","S","","","10","S","11","S","16","S","8","S"
"2020-05-10 00:00","8","S","11","S","","","13","S","11","S","15","S","13","S"
"2020-05-11 00:00","","","8","S","","","4","S","8","S","7","S","5","S"
"2020-05-12 00:00","7","S","6","S","","","8","S","7","S","7","S","6","S"
"2020-05-13 00:00","16","S","18","S","","","14","S","17","S","16","S","17","S"
"2020-05-14 00:00","32","S","35","S","","","28","S","36","S","29","S","37","S"
"2020-05-15 00:00","13","S","16","S","","","16","S","19","S","20","S","15","S"
"2020-05-16 00:00","11","S","17","S","","","12","S","15","S","20","S","16","S"
"2020-05-17 00:00","16","S","20","S","","","21","S","19","S","23","S","24","S"
"2020-05-18 00:00","24","S","24","S","","","25","S","26","S","24","S","26","S"
"2020-05-19 00:00","19","S","26","S","","","24","S","27","S","28","S","24","S"
"2020-05-20 00:00","9","S","15","S","","","16","S","15","S","13","S","14","S"
"2020-05-21 00:00","12","S","17","S","","","12","S","18","S","13","S","14","S"
"2020-05-22 00:00","15","S","17","S","","","16","S","19","S","18","S","17","S"
