"data","CASTELLUCCIO","v_CASTELLUCCIO","DE AMICIS","v_DE AMICIS","GIARDINI MARGHERITA","v_GIARDINI MARGHERITA","PORTA SAN FELICE","v_PORTA SAN FELICE","SAN LAZZARO","v_SAN LAZZARO","SAN PIETRO CAPOFIUME","v_SAN PIETRO CAPOFIUME","VIA CHIARINI","v_VIA CHIARINI"
"2019-06-05 00:00","6","S","9","S","","","17","S","10","S","22","S","10","S"
"2019-06-06 00:00","9","S","15","S","","","23","S","16","S","21","S","16","S"
"2019-06-07 00:00","15","S","19","S","","","25","S","24","S","18","S","24","S"
"2019-06-08 00:00","26","S","29","S","","","33","S","27","S","32","S","32","S"
"2019-06-09 00:00","23","S","26","S","","","32","S","27","S","36","S","35","S"
"2019-06-10 00:00","41","S","30","S","","","38","S","42","S","36","S","43","S"
"2019-06-11 00:00","","","34","S","","","42","S","44","S","38","S","49","S"
"2019-06-12 00:00","","","27","S","","","34","S","35","S","34","S","36","S"
"2019-06-13 00:00","","","15","S","","","16","S","18","S","17","S","18","S"
"2019-06-14 00:00","19","S","22","S","","","27","S","28","S","25","S","29","S"
"2019-06-15 00:00","39","S","35","S","","","42","S","40","S","33","S","",""
"2019-06-16 00:00","14","S","20","S","","","24","S","23","S","23","S","29","S"
"2019-06-17 00:00","13","S","16","S","","","20","S","23","S","23","S","27","S"
"2019-06-18 00:00","12","S","18","S","","","22","S","20","S","19","S","23","S"
"2019-06-19 00:00","15","S","","","","","20","S","18","S","21","S","",""
"2019-06-20 00:00","9","S","","","","","15","S","14","S","17","S","",""
"2019-06-21 00:00","16","S","","","","","23","S","21","S","22","S","16","S"
"2019-06-22 00:00","14","S","13","S","","","24","S","20","S","19","S","26","S"
"2019-06-23 00:00","10","S","13","S","","","19","S","18","S","19","S","22","S"
"2019-06-24 00:00","10","S","16","S","","","17","S","","","16","S","18","S"
"2019-06-25 00:00","14","S","","","","","22","S","","","24","S","23","S"
"2019-06-26 00:00","19","S","","","","","22","S","27","S","25","S","28","S"
"2019-06-27 00:00","15","S","16","S","","","24","S","26","S","32","S","31","S"
"2019-06-28 00:00","31","S","25","S","","","29","S","33","S","28","S","33","S"
"2019-06-29 00:00","21","S","24","S","","","24","S","25","S","24","S","24","S"
"2019-06-30 00:00","14","S","20","S","","","23","S","21","S","23","S","24","S"
"2019-07-01 00:00","16","S","29","S","","","30","S","28","S","","","31","S"
"2019-07-02 00:00","16","S","26","S","","","24","S","26","S","","","31","S"
"2019-07-03 00:00","18","S","26","S","","","29","S","30","S","22","S","31","S"
"2019-07-04 00:00","9","S","15","S","","","15","S","16","S","18","S","18","S"
"2019-07-05 00:00","16","S","20","S","","","19","S","24","S","25","S","23","S"
